Experiment,Model×Hyperparameter,Subject,N_Folds,Mean_Accuracy,Median_Accuracy,Min_Accuracy,Max_Accuracy,Std_Dev,N_Correctly_Classified,Pct_Correctly_Classified,Fold_Accuracies,Fold_IDs
ANOVA_L_2_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-1,0,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,No test data
ANOVA_L_2_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-10,0,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,No test data
ANOVA_L_2_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-11,0,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,No test data
ANOVA_L_2_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-12,0,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,No test data
ANOVA_L_2_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-13,0,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,No test data
ANOVA_L_2_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-14,2,0.6815,0.6815,0.6239,0.7391,0.0814,2,100.00,0.7391;0.6239,sub-14_sub-44;sub-14_sub-61
ANOVA_L_2_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-15,1,0.7772,0.7772,0.7772,0.7772,0.0000,1,100.00,0.7772,sub-15_sub-64
ANOVA_L_2_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-16,0,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,No test data
ANOVA_L_2_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-17,0,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,No test data
ANOVA_L_2_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-18,2,0.7946,0.7946,0.7445,0.8447,0.0708,2,100.00,0.8447;0.7445,sub-18_sub-41;sub-18_sub-51
ANOVA_L_2_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-19,1,0.7295,0.7295,0.7295,0.7295,0.0000,1,100.00,0.7295,sub-19_sub-39
ANOVA_L_2_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-2,0,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,No test data
ANOVA_L_2_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-20,0,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,No test data
ANOVA_L_2_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-21,0,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,No test data
ANOVA_L_2_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-22,1,0.7548,0.7548,0.7548,0.7548,0.0000,1,100.00,0.7548,sub-22_sub-40
ANOVA_L_2_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-23,0,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,No test data
ANOVA_L_2_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-24,1,0.8697,0.8697,0.8697,0.8697,0.0000,1,100.00,0.8697,sub-24_sub-42
ANOVA_L_2_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-25,0,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,No test data
ANOVA_L_2_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-26,0,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,No test data
ANOVA_L_2_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-27,0,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,No test data
ANOVA_L_2_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-28,1,0.8170,0.8170,0.8170,0.8170,0.0000,1,100.00,0.8170,sub-28_sub-47
ANOVA_L_2_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-29,0,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,No test data
