Experiment,Model×Hyperparameter,Subject,N_Folds,Mean_Accuracy,Median_Accuracy,Min_Accuracy,Max_Accuracy,Std_Dev,N_Correctly_Classified,Pct_Correctly_Classified,Fold_Accuracies,Fold_IDs
PCA_L_2_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-1,1,0.5913,0.5913,0.5913,0.5913,0.0000,1,100.00,0.5913,sub-1_sub-61
PCA_L_2_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-10,0,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,No test data
PCA_L_2_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-11,0,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,No test data
PCA_L_2_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-12,0,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,No test data
PCA_L_2_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-13,1,0.5513,0.5513,0.5513,0.5513,0.0000,1,100.00,0.5513,sub-13_sub-59
PCA_L_2_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-14,0,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,No test data
PCA_L_2_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-15,1,0.5308,0.5308,0.5308,0.5308,0.0000,1,100.00,0.5308,sub-15_sub-41
PCA_L_2_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-16,0,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,No test data
PCA_L_2_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-17,0,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,No test data
PCA_L_2_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-18,2,0.5383,0.5383,0.5231,0.5534,0.0214,2,100.00,0.5534;0.5231,sub-18_sub-41;sub-18_sub-59
PCA_L_2_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-19,0,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,No test data
PCA_L_2_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-2,0,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,No test data
PCA_L_2_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-20,0,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,No test data
PCA_L_2_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-21,0,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,No test data
PCA_L_2_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-22,0,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,No test data
PCA_L_2_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-23,0,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,No test data
PCA_L_2_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-24,1,0.7179,0.7179,0.7179,0.7179,0.0000,1,100.00,0.7179,sub-24_sub-42
PCA_L_2_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-25,0,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,No test data
PCA_L_2_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-26,0,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,No test data
PCA_L_2_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-27,0,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,No test data
PCA_L_2_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-28,1,0.5266,0.5266,0.5266,0.5266,0.0000,1,100.00,0.5266,sub-28_sub-47
PCA_L_2_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-29,0,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,No test data
PCA_L_2_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-3,0,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,No test data
PCA_L_2_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-30,1,0.6760,0.6760,0.6760,0.6760,0.0000,1,100.00,0.6760,sub-30_sub-54
PCA_L_2_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-31,0,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,No test data
PCA_L_2_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-32,0,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,No test data
