Experiment,Model×Hyperparameter,Subject,N_Folds,Mean_Accuracy,Median_Accuracy,Min_Accuracy,Max_Accuracy,Std_Dev,N_Correctly_Classified,Pct_Correctly_Classified,Fold_Accuracies,Fold_IDs
ANOVA_L_6_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-3,1,0.6994,0.6994,0.6994,0.6994,0.0000,1,100.00,0.6994,sub-3_sub-17_sub-23_sub-51_sub-54_sub-60
ANOVA_L_6_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-30,1,0.5567,0.5567,0.5567,0.5567,0.0000,1,100.00,0.5567,sub-11_sub-25_sub-30_sub-45_sub-57_sub-59
ANOVA_L_6_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-31,1,0.6856,0.6856,0.6856,0.6856,0.0000,1,100.00,0.6856,sub-16_sub-27_sub-31_sub-40_sub-43_sub-58
ANOVA_L_6_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-32,2,0.7559,0.7559,0.7228,0.7891,0.0468,2,100.00,0.7891;0.7228,sub-14_sub-21_sub-32_sub-49_sub-57_sub-65;sub-11_sub-27_sub-32_sub-43_sub-52_sub-64
ANOVA_L_6_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-33,1,0.7752,0.7752,0.7752,0.7752,0.0000,1,100.00,0.7752,sub-12_sub-17_sub-33_sub-40_sub-53_sub-64
ANOVA_L_6_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-34,2,0.7609,0.7609,0.7592,0.7626,0.0023,2,100.00,0.7592;0.7626,sub-11_sub-34_sub-35_sub-37_sub-47_sub-56;sub-17_sub-34_sub-36_sub-37_sub-58_sub-64
ANOVA_L_6_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-35,2,0.6893,0.6893,0.6193,0.7592,0.0989,2,100.00,0.6193;0.7592,sub-14_sub-28_sub-35_sub-59_sub-60_sub-61;sub-11_sub-34_sub-35_sub-37_sub-47_sub-56
ANOVA_L_6_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-36,3,0.6723,0.6353,0.6191,0.7626,0.0786,3,100.00,0.6353;0.7626;0.6191,sub-2_sub-15_sub-36_sub-37_sub-44_sub-55;sub-17_sub-34_sub-36_sub-37_sub-58_sub-64;sub-2_sub-13_sub-36_sub-54_sub-57_sub-59
ANOVA_L_6_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-37,4,0.7215,0.7440,0.6353,0.7626,0.0594,4,100.00,0.6353;0.7288;0.7592;0.7626,sub-2_sub-15_sub-36_sub-37_sub-44_sub-55;sub-4_sub-11_sub-26_sub-37_sub-45_sub-49;sub-11_sub-34_sub-35_sub-37_sub-47_sub-56;sub-17_sub-34_sub-36_sub-37_sub-58_sub-64
ANOVA_L_6_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-38,0,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,No test data
ANOVA_L_6_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-39,0,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,No test data
ANOVA_L_6_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-4,2,0.7776,0.7776,0.7288,0.8264,0.0690,2,100.00,0.7288;0.8264,sub-4_sub-11_sub-26_sub-37_sub-45_sub-49;sub-4_sub-7_sub-26_sub-47_sub-60_sub-62
ANOVA_L_6_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-40,2,0.7304,0.7304,0.6856,0.7752,0.0634,2,100.00,0.6856;0.7752,sub-16_sub-27_sub-31_sub-40_sub-43_sub-58;sub-12_sub-17_sub-33_sub-40_sub-53_sub-64
ANOVA_L_6_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-41,3,0.7330,0.7259,0.7155,0.7578,0.0220,3,100.00,0.7259;0.7155;0.7578,sub-1_sub-11_sub-28_sub-41_sub-45_sub-47;sub-2_sub-8_sub-18_sub-41_sub-44_sub-60;sub-15_sub-24_sub-26_sub-41_sub-52_sub-53
ANOVA_L_6_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-42,0,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,No test data
ANOVA_L_6_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-43,2,0.7042,0.7042,0.6856,0.7228,0.0263,2,100.00,0.6856;0.7228,sub-16_sub-27_sub-31_sub-40_sub-43_sub-58;sub-11_sub-27_sub-32_sub-43_sub-52_sub-64
ANOVA_L_6_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-44,4,0.6827,0.6806,0.6353,0.7342,0.0495,4,100.00,0.6457;0.6353;0.7155;0.7342,sub-2_sub-6_sub-14_sub-44_sub-53_sub-56;sub-2_sub-15_sub-36_sub-37_sub-44_sub-55;sub-2_sub-8_sub-18_sub-41_sub-44_sub-60;sub-5_sub-11_sub-18_sub-44_sub-54_sub-60
ANOVA_L_6_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-45,4,0.6997,0.7273,0.5567,0.7874,0.0994,4,100.00,0.7288;0.5567;0.7259;0.7874,sub-4_sub-11_sub-26_sub-37_sub-45_sub-49;sub-11_sub-25_sub-30_sub-45_sub-57_sub-59;sub-1_sub-11_sub-28_sub-41_sub-45_sub-47;sub-15_sub-27_sub-29_sub-45_sub-55_sub-62
ANOVA_L_6_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-46,0,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,No test data
ANOVA_L_6_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-47,3,0.7705,0.7592,0.7259,0.8264,0.0512,3,100.00,0.7259;0.7592;0.8264,sub-1_sub-11_sub-28_sub-41_sub-45_sub-47;sub-11_sub-34_sub-35_sub-37_sub-47_sub-56;sub-4_sub-7_sub-26_sub-47_sub-60_sub-62
ANOVA_L_6_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-48,0,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,No test data
ANOVA_L_6_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-49,2,0.7589,0.7589,0.7288,0.7891,0.0426,2,100.00,0.7891;0.7288,sub-14_sub-21_sub-32_sub-49_sub-57_sub-65;sub-4_sub-11_sub-26_sub-37_sub-45_sub-49
ANOVA_L_6_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-5,1,0.7342,0.7342,0.7342,0.7342,0.0000,1,100.00,0.7342,sub-5_sub-11_sub-18_sub-44_sub-54_sub-60
ANOVA_L_6_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-50,0,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,No test data
ANOVA_L_6_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-51,1,0.6994,0.6994,0.6994,0.6994,0.0000,1,100.00,0.6994,sub-3_sub-17_sub-23_sub-51_sub-54_sub-60
ANOVA_L_6_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-52,2,0.7403,0.7403,0.7228,0.7578,0.0247,2,100.00,0.7228;0.7578,sub-11_sub-27_sub-32_sub-43_sub-52_sub-64;sub-15_sub-24_sub-26_sub-41_sub-52_sub-53
ANOVA_L_6_Random,"KNN (metric=euclidean, neighbors=15, weights=uniform)",sub-53,3,0.7262,0.7578,0.6457,0.7752,0.0703,3,100.00,0.6457;0.7752;0.7578,sub-2_sub-6_sub-14_sub-44_sub-53_sub-56;sub-12_sub-17_sub-33_sub-40_sub-53_sub-64;sub-15_sub-24_sub-26_sub-41_sub-52_sub-53
