model_name,best_test_accuracy,std_test_accuracy,best_train_accuracy,std_train_accuracy,test_f1,test_precision,test_recall,num_folds,total_tasks,best_hyperparams
MLP (Neural Network),0.7137881738592843,0.0876270566067638,0.8114564732156734,0.013534818132077252,0.7071194132871743,0.736616663997206,0.7137881738592843,50,150,"{'hidden_layer_sizes': [100], 'activation': 'tanh', 'alpha': '0.1'}"
SVM,0.7114847028839862,0.07988306156096639,0.794384091042241,0.00838950295348968,0.7020241745802452,0.7456820933810061,0.7114847028839862,50,150,"{'C': '0.1', 'kernel': 'linear', 'gamma': 'auto'}"
KNN,0.7054702372948678,0.07110696179797286,0.8736710876282505,0.005651363523639736,0.7024258389919101,0.7160851972382044,0.7054702372948678,50,150,"{'n_neighbors': 15, 'weights': 'uniform', 'metric': 'euclidean'}"
XGBoost,0.6754400701772176,0.09099730340365796,0.9999405184000328,5.8861686815489936e-05,0.6719493669216992,0.689285622121387,0.6754400701772176,50,150,"{'n_estimators': '100', 'max_depth': '9', 'learning_rate': '0.2', 'subsample': '0.7'}"
