hyperparam_hidden_layer_sizes,hyperparam_activation,hyperparam_alpha,mean_test_accuracy,std_test_accuracy,mean_train_accuracy,std_train_accuracy,mean_test_f1,mean_test_precision,mean_test_recall,num_folds
[100],tanh,0.1,0.7137881738592843,0.0876270566067638,0.8114564732156734,0.013534818132077252,0.7071194132871743,0.736616663997206,0.7137881738592843,50
"[150, 50]",tanh,0.1,0.6985686053471519,0.08997272234840219,0.8516773329970261,0.024722761047761048,0.6925597519805339,0.7150719257534617,0.6985686053471519,50
"[200, 100, 50]",tanh,0.1,0.6793763965735777,0.08580823668533588,0.885120980971358,0.05882806211927967,0.6737685086028335,0.6934918261182413,0.6793763965735777,50
