hyperparam_hidden_layer_sizes,hyperparam_activation,hyperparam_alpha,mean_test_accuracy,std_test_accuracy,mean_train_accuracy,std_train_accuracy,mean_test_f1,mean_test_precision,mean_test_recall,num_folds
[100],tanh,0.1,0.5419309878238816,0.07009041488325296,0.983954151340008,0.003032410030741819,0.4333870186465934,0.722040113363334,0.5419309878238816,12
"[200, 100, 50]",tanh,0.1,0.5313002204812939,0.06939562532858463,0.992212232509265,0.0025778735595970953,0.4269454037701949,0.5893254922512621,0.5313002204812939,12
"[150, 50]",tanh,0.1,0.523021300568281,0.0625375986220143,0.9928285129816844,0.001621264986444351,0.3924768406480368,0.6408026021494128,0.523021300568281,12
