feature,group1,group1_mean,group2,group2_mean,mean_diff,cohens_d,rel_diff_pct,group1_std,group2_std
feature_38,alz,0.04001500943883499,cntrl,0.1063651455406105,0.06635013610177551,0.79675438056193,90.65455096845923,0.05072069762329038,0.10628751388545847
feature_58,alz,0.036426899537719166,cntrl,0.0915711919814288,0.05514429244370963,0.7148258670039499,86.1642416527129,0.04320500628485227,0.1001779406218559
feature_34,alz,0.038898521240922995,cntrl,0.09512791051026527,0.056229389269342275,0.7038903588555855,83.90791060337804,0.05037096995301796,0.10112164398742379
feature_36,alz,0.8887651267219556,cntrl,0.8259636151255715,0.06280151159638414,0.6029534592191176,7.324950012643858,0.07876432843868951,0.12447219118593085
feature_62,alz,0.037907404605461395,cntrl,0.07716529644663783,0.03925789184117644,0.6022891838584181,68.23145973327314,0.04648802439576584,0.07959914558682657
feature_26,alz,0.027802707674313604,cntrl,0.05381157844553934,0.026008870771225736,0.533761485767665,63.73607368942971,0.033922544400725875,0.059983351069297475
feature_32,alz,0.8898157669256942,cntrl,0.8378195632856223,0.05199620364007185,0.5110438325461597,6.019349422972486,0.07843804418662156,0.12063002202946772
feature_56,alz,0.889606777361261,cntrl,0.8388629195562614,0.05074385780499968,0.5016656059205864,5.871535716882288,0.07736073826329587,0.12032567920436597
feature_74,alz,0.02585200221309506,cntrl,0.048041922208887616,0.022189919995792555,0.49576180758828037,60.0588483271604,0.031047576319221264,0.05516182112341673
feature_30,alz,0.02850684089766262,cntrl,0.04695986451744499,0.018453023619782367,0.42755290227769804,48.90374773426448,0.03519640837983922,0.04986701892008753
feature_39,alz,0.005663124605086247,cntrl,0.007746054974395983,0.0020829303693097358,0.42197574779384944,31.06723057832542,0.004465045086225667,0.005366030363411114
feature_59,alz,0.0056072130075801715,cntrl,0.007640099447020346,0.0020328864394401746,0.4202474884454894,30.691303559224124,0.0044905902507980655,0.005160873268797373
feature_6,alz,0.02412562887946269,cntrl,0.038553477662780056,0.014427848783317366,0.40936633733245903,46.037187124209176,0.02657973015791128,0.04216450850321901
feature_2,alz,0.0242433968647028,cntrl,0.038287586302586496,0.014044189437883697,0.3995924634854542,44.91913840635207,0.02695853703107278,0.0417583472966817
feature_14,alz,0.022354384308472593,cntrl,0.03291556931518133,0.010561185006708738,0.3591933505528804,38.216731928607445,0.02172415291960242,0.03545526782563931
feature_60,alz,0.8884212838511257,cntrl,0.8557516099599443,0.03266967389118147,0.35670106159166115,3.746150855469065,0.07945887785128877,0.10228954486847502
feature_46,alz,0.0260423572827048,cntrl,0.03780155055050919,0.011759193267804391,0.35129233614272304,36.83732298631889,0.02658397367025789,0.03917042896886322
feature_50,alz,0.02769888824517533,cntrl,0.04002454001921857,0.01232565177404324,0.3451128955333381,36.39996405947908,0.029629686633334935,0.04090453804545897
feature_66,alz,0.02307857304654124,cntrl,0.03346366921212532,0.010385096165584078,0.32858905626062274,36.73393820526208,0.025444628138735395,0.03674694504237977
feature_35,alz,0.005712135940363735,cntrl,0.007187155191413827,0.0014750192510500923,0.3037273415278236,22.869772237582335,0.004738551810895503,0.0049714411680805235
feature_24,alz,0.9057615622912041,cntrl,0.8829195122172961,0.022842050073907938,0.30212974215464716,2.5540662781580057,0.06521957464366408,0.0847240792559991
feature_54,alz,0.02628725854069304,cntrl,0.0355836972148961,0.009296438674203059,0.29812312324108153,30.051058887556497,0.026274778259974024,0.035417825112349734
feature_63,alz,0.005678633551439801,cntrl,0.007052232769553553,0.0013735992181137524,0.2873329644975642,21.579037647244327,0.004727098360285351,0.00483333906840506
feature_91,alz,7.628669475032499e-05,cntrl,5.118880295626055e-06,7.116781445469893e-05,0.2866688274374278,174.8475197540876,0.0002816734519083777,0.00020958073049083463
feature_42,alz,0.02690424565454878,cntrl,0.036277280715377024,0.009373035060828244,0.28188662845710044,29.67017607630884,0.02805849277216632,0.037735788488216
feature_10,alz,0.0229152314173719,cntrl,0.030725609603489048,0.007810378186117149,0.27994276259592804,29.12101315890886,0.023461670130427548,0.03172317941367687
feature_27,alz,0.004871366030857488,cntrl,0.006021297331933782,0.001149931301076294,0.2710178355335311,21.11386834930372,0.0042775550641700934,0.004208180729632369
feature_72,alz,0.9096592409557491,cntrl,0.8904741906950572,0.01918505026069195,0.26882027201241737,2.1315142448188813,0.062209218350690786,0.07947750606414629
feature_51,alz,0.00596889331116216,cntrl,0.007510269544178502,0.001541376233016342,0.2617826390420661,22.87050389639923,0.0059386732089029065,0.005836887304583388
feature_31,alz,0.004777722016550837,cntrl,0.005729155876229643,0.0009514338596788062,0.23150664901837137,18.110686531011435,0.003942592842529252,0.004270364132955933
feature_75,alz,0.004463950426495324,cntrl,0.0053050070669385585,0.0008410566404432347,0.22967538418733585,17.218964070803736,0.003563492394818979,0.003757802252278497
feature_3,alz,0.005976175341913944,cntrl,0.007238890145532227,0.0012627148036182837,0.2267878249455948,19.110231497797972,0.005377749685932136,0.00575162126773312
feature_76,alz,-5.950205780483968e-05,cntrl,-3.543996290135529e-06,5.5958061514704147e-05,0.22462498588024388,0.0,0.00028566127332653023,0.00020619626872236314
feature_41,alz,0.06775986047775831,cntrl,0.05803662718620876,0.009723233291549553,0.22259264700014328,15.458672133235815,0.04737129530607492,0.03965032837218937
feature_65,alz,0.06698839528649612,cntrl,0.05706326002383096,0.009925135262665162,0.2223929800558523,16.00161680686402,0.04948042272384307,0.039180991599337106
feature_9,alz,0.0649172446711209,cntrl,0.05585056725545878,0.009066677415662111,0.21287256619254247,15.015056199203414,0.046543916595538005,0.03823385960173378
feature_49,alz,0.0682998627065752,cntrl,0.058994151738322405,0.0093057109682528,0.21059626348916846,14.620814668832697,0.04801695962981391,0.03999290326885448
feature_28,alz,0.9056204665837301,cntrl,0.8913695607211058,0.01425090586262423,0.20099221123314234,1.586086249348645,0.06582559311347941,0.07563992838620841
feature_94,alz,1.9190078467829152e-05,cntrl,-2.164129187647661e-05,4.083137034430576e-05,0.18541767384772584,0.0,0.00025528838398257864,0.00017836848198905537
feature_45,alz,0.06616349864863175,cntrl,0.058170729328166304,0.007992769320465443,0.18327280132809906,12.856909075684243,0.0466187942677571,0.04038047788241677
feature_53,alz,0.06631575986106668,cntrl,0.05833892378266084,0.007976836078405838,0.18165871401072656,12.798293405812553,0.04731162302409335,0.04022414429933881
feature_18,alz,0.018864486293546718,cntrl,0.022901390325137022,0.004036904031590304,0.18093568209709704,19.331111224824223,0.020786325165434518,0.023738445980250253
feature_13,alz,0.0636275606166505,cntrl,0.056070066697040684,0.00755749391960981,0.1792107951492786,12.627641982917357,0.0453571220797832,0.03872355486869233
feature_61,alz,0.06799267799197303,cntrl,0.06003086082386437,0.007961817168108662,0.17625520169706724,12.43805200473607,0.04843500110645716,0.041654381106782705
feature_5,alz,0.06379901098607776,cntrl,0.05620656128631148,0.007592449699766288,0.17621688296111176,12.653495260258262,0.046710368231944396,0.039126947897174344
feature_1,alz,0.06362396816863714,cntrl,0.056215428285450265,0.00740853988318687,0.17444586006026547,12.364114143423967,0.04563130778749211,0.039051432229765974
feature_83,alz,-5.888133367738625e-06,cntrl,-4.691787085305166e-05,4.102973748531304e-05,0.16904185988126633,0.0,0.0002782734786166388,0.0002009708381588801
feature_70,alz,0.018765127957338545,cntrl,0.02193254287170683,0.0031674149143682863,0.16129423693711198,15.56558323778935,0.0180643334320392,0.021093656559272075
feature_22,alz,0.0189305638558455,cntrl,0.022473588809954332,0.0035430249541088324,0.15970378054506712,17.114345909729966,0.02115306430303721,0.023170982321994993
feature_57,alz,0.06835911009343959,cntrl,0.0619257890152895,0.006433321078150089,0.14012275762699616,9.875773972517214,0.04827119399590833,0.04342489966153974
feature_67,alz,0.004863294407964309,cntrl,0.005416755200314964,0.0005534607923506551,0.1329556889050325,10.767667733916628,0.004294371695308323,0.0040268205874761254
feature_33,alz,0.06557357589301917,cntrl,0.059865371012698454,0.005708204880320714,0.13004443521983458,9.101168370954378,0.04563686916944523,0.04207955731524134
feature_37,alz,0.06555673923412315,cntrl,0.05992518435942204,0.005631554874701114,0.12957166510773854,8.975882283957594,0.04560949204909431,0.041204541947340786
feature_29,alz,0.06109497050205644,cntrl,0.055941418885219495,0.005153551616836942,0.1274771205247575,8.806750864098737,0.042565990744607346,0.03816889182154948
feature_82,alz,3.342694969431966e-05,cntrl,2.917233565989153e-07,3.313522633772074e-05,0.12518789094174756,196.53932577763797,0.00031720011001423347,0.00019874426872018537
feature_0,alz,0.9061564596247462,cntrl,0.8982580952664311,0.007898364358315146,0.11741108457893908,0.8754489745059155,0.06354554632642073,0.07080074829158187
feature_4,alz,0.9055563722788863,cntrl,0.8981192539694318,0.007437118309454482,0.10959285487699612,0.8246625059655365,0.06442360258948726,0.07113313688285279
feature_93,alz,-1.2654030913491377e-05,cntrl,1.0824735214726354e-05,2.3478766128217732e-05,0.10687016334425005,0.0,0.0002577119135449999,0.00017353888274028489
feature_25,alz,0.06156436400362476,cntrl,0.057247612005230784,0.004316751998393972,0.10523269401887338,7.266526731399918,0.042569329073800025,0.03941192316995458
feature_92,alz,-1.8539940112635962e-05,cntrl,-4.2709062380956616e-05,2.4169122268320653e-05,0.1011739611767423,0.0,0.0002478693726805978,0.0002295529694361811
feature_80,alz,-4.1643881212403635e-07,cntrl,-1.9971304029050026e-05,1.955486521692599e-05,0.10000512245483889,0.0,0.00023704452679358892,0.00014241000137340862
feature_7,alz,0.0065189878555731605,cntrl,0.007120707081476738,0.0006017192259035777,0.09999379629295546,8.823059880453929,0.00624688120124668,0.005779157902695934
feature_73,alz,0.060024806404660284,cntrl,0.056178880029116585,0.0038459263755437,0.09556087395652649,6.61928462611287,0.04173776245016968,0.03869641229133569
feature_79,alz,1.9250069788444016e-05,cntrl,-5.995464666404212e-06,2.524553445484823e-05,0.09412607701163787,380.93227557371534,0.0002919554000399668,0.00024214668509366235
feature_11,alz,0.005697006729068391,cntrl,0.006155240822606425,0.00045823409353803416,0.0880227635862475,7.732442164073464,0.005534878424789908,0.004854591238335258
feature_19,alz,0.004533898783479932,cntrl,0.004867353137320883,0.00033345435384095085,0.07563409411058718,7.09382870813543,0.0048054093230351725,0.00397275558404601
feature_21,alz,0.05786652711471119,cntrl,0.05494115338280627,0.0029253737319049206,0.07442104939156557,5.186479713088859,0.04048659987028364,0.03809381462574329
feature_17,alz,0.05782651185274495,cntrl,0.05494778818432141,0.0028787236684235384,0.07357660927395553,5.10528314957817,0.04033760421744114,0.03787468192004688
feature_23,alz,0.004550030865568095,cntrl,0.004872070618276547,0.0003220397527084525,0.07315882352634488,6.835837063751213,0.004811598205247744,0.003949991622646503
feature_48,alz,0.8980323557370873,cntrl,0.8934710386982805,0.0045613170388068,0.0653385652255747,0.5092166783467805,0.06852626844895784,0.07107150370997913
feature_15,alz,0.005814700108279944,cntrl,0.006134590808401627,0.0003198907001216835,0.06454311104612387,5.354136950086408,0.005181763923350387,0.004719938001292448
feature_69,alz,0.05762079710477475,cntrl,0.055248600717076504,0.0023721963876982485,0.06032077907102651,4.203435888693997,0.04038308392030372,0.03824043632304748
feature_44,alz,0.901314602569327,cntrl,0.8973214602062625,0.0039931423630645835,0.05914403370500556,0.44401893698300615,0.06513015044036535,0.0698195123565956
feature_12,alz,0.9082033549665969,cntrl,0.9048797731793764,0.0033235817872204754,0.05276448485543435,0.3666221074616817,0.06068481957169574,0.06521180297632177
feature_43,alz,0.006933300901164276,cntrl,0.0072994143461521796,0.00036611344498790367,0.05094351705121041,5.144674626395459,0.007996010555878097,0.006273740092332625
feature_87,alz,2.9895312463100483e-05,cntrl,1.593866291924347e-05,1.3956649543857011e-05,0.04805059557899667,60.900890343600246,0.00030484588102369463,0.0002753179154817845
feature_78,alz,-1.355660703033446e-05,cntrl,-2.7680326335268885e-06,1.078857439680757e-05,0.04562245669040341,0.0,0.00027035698782463386,0.00019684519882427507
feature_85,alz,-1.3374774702476399e-05,cntrl,2.5654507583249677e-06,1.5940225460801365e-05,0.04342356391062655,0.0,0.0004029886162487414,0.00032727036936485316
feature_47,alz,0.0064795414993364005,cntrl,0.006706259915062018,0.00022671841572561788,0.038582010327344415,3.43882648616336,0.006534110559966904,0.005134838062914316
