hyperparam_n_neighbors,hyperparam_weights,hyperparam_metric,mean_test_accuracy,std_test_accuracy,mean_train_accuracy,std_train_accuracy,mean_test_f1,mean_test_precision,mean_test_recall,num_folds
15,uniform,euclidean,0.7054702372948678,0.07110696179797286,0.8736710876282505,0.005651363523639736,0.7024258389919101,0.7160851972382044,0.7054702372948678,50
7,uniform,euclidean,0.6908791812262173,0.06364418599110457,0.8919490631935156,0.005035574108128354,0.6883961499890736,0.6993824319445008,0.6908791812262173,50
1,uniform,euclidean,0.6475018249030033,0.046686775063871214,1.0,0.0,0.646121919355675,0.6523739337950154,0.6475018249030035,50
