hyperparam_n_neighbors,hyperparam_weights,hyperparam_metric,mean_test_accuracy,std_test_accuracy,mean_train_accuracy,std_train_accuracy,mean_test_f1,mean_test_precision,mean_test_recall,num_folds
15,uniform,euclidean,0.7338136275246775,0.11975263559023024,0.8732453496908568,0.004845955497550025,0.7275209591511198,0.7480598505637253,0.7338136275246775,50
7,uniform,euclidean,0.7184737569770412,0.10793404946039109,0.8910758186976282,0.004194271482241999,0.7133581412749953,0.7306989103533654,0.7184737569770412,50
1,uniform,euclidean,0.6669760362410746,0.08867223131390074,1.0,0.0,0.6645027078971617,0.676370749009731,0.6669760362410746,50
