experiment,experiment_type,feature_set,holdout_size_P,model,hyperparams,n_folds,median,iqr,mean,sd,min,max
ANOVA_L_6_Uniform,LPSO_Systematic_12,ANOVA,6,MLP,"{""activation"": ""tanh"", ""alpha"": ""0.1"", ""hidden_layer_sizes"": [100]}",12,0.712384,0.113885,0.693331,0.086909,0.543725,0.835655
ANOVA_L_6_Uniform,LPSO_Systematic_12,ANOVA,6,MLP,"{""activation"": ""tanh"", ""alpha"": ""0.1"", ""hidden_layer_sizes"": [150, 50]}",12,0.714088,0.070517,0.68113,0.063384,0.548537,0.747625
ANOVA_L_6_Uniform,LPSO_Systematic_12,ANOVA,6,MLP,"{""activation"": ""tanh"", ""alpha"": ""0.1"", ""hidden_layer_sizes"": [200, 100, 50]}",12,0.677031,0.066683,0.664128,0.116434,0.444149,0.899937
ANOVA_L_6_Uniform,LPSO_Systematic_12,ANOVA,6,SVM,"{""C"": ""0.1"", ""gamma"": ""auto"", ""kernel"": ""linear""}",12,0.71779,0.116408,0.710682,0.094305,0.566822,0.893287
ANOVA_L_6_Uniform,LPSO_Systematic_12,ANOVA,6,SVM,"{""C"": ""0.1"", ""gamma"": ""auto"", ""kernel"": ""poly""}",12,0.636268,0.177816,0.651354,0.086321,0.551586,0.78974
ANOVA_L_6_Uniform,LPSO_Systematic_12,ANOVA,6,SVM,"{""C"": ""0.1"", ""gamma"": ""auto"", ""kernel"": ""rbf""}",12,0.643125,0.168944,0.653315,0.084272,0.553524,0.786257
ANOVA_L_6_Uniform,LPSO_Systematic_12,ANOVA,6,XGBoost,"{""learning_rate"": ""0.2"", ""max_depth"": ""3"", ""n_estimators"": ""100"", ""subsample"": ""0.7""}",12,0.664599,0.101321,0.65473,0.100008,0.499668,0.882204
ANOVA_L_6_Uniform,LPSO_Systematic_12,ANOVA,6,XGBoost,"{""learning_rate"": ""0.2"", ""max_depth"": ""6"", ""n_estimators"": ""100"", ""subsample"": ""0.7""}",12,0.648931,0.10231,0.652816,0.092049,0.492021,0.864788
ANOVA_L_6_Uniform,LPSO_Systematic_12,ANOVA,6,XGBoost,"{""learning_rate"": ""0.2"", ""max_depth"": ""9"", ""n_estimators"": ""100"", ""subsample"": ""0.7""}",12,0.665146,0.081473,0.664393,0.094615,0.473072,0.879037
ANOVA_W_C,Within_Subject,ANOVA,N/A,KNN,"{""metric"": ""euclidean"", ""n_neighbors"": 1, ""weights"": ""uniform""}",1,0.804653,0.0,0.804653,0.0,0.804653,0.804653
ANOVA_W_C,Within_Subject,ANOVA,N/A,KNN,"{""metric"": ""euclidean"", ""n_neighbors"": 15, ""weights"": ""uniform""}",1,0.841528,0.0,0.841528,0.0,0.841528,0.841528
ANOVA_W_C,Within_Subject,ANOVA,N/A,KNN,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""uniform""}",1,0.837577,0.0,0.837577,0.0,0.837577,0.837577
ANOVA_W_C,Within_Subject,ANOVA,N/A,MLP,"{""activation"": ""tanh"", ""alpha"": ""0.1"", ""hidden_layer_sizes"": [100]}",1,0.796459,0.0,0.796459,0.0,0.796459,0.796459
ANOVA_W_C,Within_Subject,ANOVA,N/A,MLP,"{""activation"": ""tanh"", ""alpha"": ""0.1"", ""hidden_layer_sizes"": [150, 50]}",1,0.821773,0.0,0.821773,0.0,0.821773,0.821773
ANOVA_W_C,Within_Subject,ANOVA,N/A,MLP,"{""activation"": ""tanh"", ""alpha"": ""0.1"", ""hidden_layer_sizes"": [200, 100, 50]}",1,0.844454,0.0,0.844454,0.0,0.844454,0.844454
ANOVA_W_C,Within_Subject,ANOVA,N/A,SVM,"{""C"": ""0.1"", ""gamma"": ""auto"", ""kernel"": ""linear""}",1,0.782119,0.0,0.782119,0.0,0.782119,0.782119
