hyperparam_n_neighbors,hyperparam_weights,hyperparam_metric,mean_test_accuracy,std_test_accuracy,mean_train_accuracy,std_train_accuracy,mean_test_f1,mean_test_precision,mean_test_recall,num_folds
15,uniform,euclidean,0.5343868890839918,0.0,0.6426681367144432,0.0,0.5463356248513057,0.6054409778816512,0.5343868890839918,1
7,uniform,euclidean,0.5282411472051507,0.0,0.6915472252848217,0.0,0.5417553375793852,0.6011796971987196,0.5282411472051507,1
1,uniform,euclidean,0.5150717003219198,0.0,1.0,0.0,0.5261605392443054,0.5637784459882271,0.5150717003219198,1
