model_name,best_test_accuracy,std_test_accuracy,best_train_accuracy,std_train_accuracy,test_f1,test_precision,test_recall,num_folds,total_tasks,best_hyperparams
SVM,0.7106824022119516,0.09028970729731667,0.7986656023108237,0.01046105697663868,0.6999886748613511,0.741226883377887,0.7106824022119516,12,36,"{'C': '0.1', 'kernel': 'linear', 'gamma': 'auto'}"
KNN,0.6938738377593876,0.06251453439737753,0.8768563906962448,0.007155355410708178,0.6904580896137654,0.7051965395619542,0.6938738377593876,12,36,"{'n_neighbors': 15, 'weights': 'uniform', 'metric': 'euclidean'}"
MLP (Neural Network),0.6933305372593694,0.08320950835127176,0.810782321066478,0.01610376538206855,0.6818600543645333,0.7278900948805904,0.6933305372593694,12,36,"{'hidden_layer_sizes': [100], 'activation': 'tanh', 'alpha': '0.1'}"
XGBoost,0.6643932544564032,0.0905864999336545,0.9999443938101699,5.5020280368958334e-05,0.6582103197446408,0.6809952004857386,0.6643932544564032,12,36,"{'n_estimators': '100', 'max_depth': '9', 'learning_rate': '0.2', 'subsample': '0.7'}"
