Subject,Median_Accuracy,N_Folds_Observed
sub-1,0.6365,8
sub-2,0.6520,20
sub-3,0.6972,8
sub-4,0.7288,19
sub-5,0.6557,27
sub-6,0.6361,26
sub-7,0.6556,15
sub-8,0.6914,27
sub-9,0.5783,7
sub-10,0.5864,8
sub-11,0.7243,24
sub-12,0.7558,7
sub-13,0.6697,20
sub-14,0.7055,19
sub-15,0.7058,27
sub-16,0.6532,12
sub-17,0.7014,20
sub-18,0.7058,16
sub-19,0.6938,11
sub-20,0.6993,12
sub-21,0.6944,12
sub-22,0.7015,6
sub-23,0.7117,8
sub-24,0.7276,12
sub-25,0.5715,12
sub-26,0.7584,16
sub-27,0.7154,16
sub-28,0.6456,27
sub-29,0.7259,12
sub-30,0.6557,16
sub-31,0.6248,8
sub-32,0.6811,24
sub-33,0.6953,11
sub-34,0.7594,12
sub-35,0.6597,28
sub-36,0.6359,32
sub-37,0.7437,20
sub-38,0.6397,24
sub-39,0.7184,15
sub-40,0.7414,18
sub-41,0.6841,31
sub-42,0.6938,15
sub-43,0.6496,20
sub-44,0.6735,42
sub-45,0.6530,30
sub-46,0.5287,8
sub-47,0.7308,20
sub-48,0.6969,16
sub-49,0.7619,22
sub-50,0.6414,8
sub-51,0.6555,23
sub-52,0.7178,8
sub-53,0.6884,16
sub-54,0.6416,24
sub-55,0.6775,20
sub-56,0.6613,12
sub-57,0.6951,27
sub-58,0.7001,19
sub-59,0.6192,16
sub-60,0.6924,40
sub-61,0.6253,24
sub-62,0.7833,12
sub-63,0.5705,12
sub-64,0.7439,23
sub-65,0.7192,20
