Subject,Fold,Model,Accuracy
sub-5,sub-4_sub-5_sub-15_sub-38_sub-39_sub-65,XGBoost,0.6674
sub-5,sub-4_sub-5_sub-15_sub-38_sub-39_sub-65,SVM,0.6142
sub-5,sub-4_sub-5_sub-15_sub-38_sub-39_sub-65,MLP_(Neural_Network),0.7744
sub-5,sub-5_sub-25_sub-28_sub-49_sub-51_sub-56,KNN,0.6455
sub-5,sub-5_sub-25_sub-28_sub-49_sub-51_sub-56,XGBoost,0.6042
sub-5,sub-5_sub-25_sub-28_sub-49_sub-51_sub-56,SVM,0.6511
sub-5,sub-5_sub-25_sub-28_sub-49_sub-51_sub-56,MLP_(Neural_Network),0.6127
sub-5,sub-5_sub-13_sub-24_sub-38_sub-44_sub-58,KNN,0.7665
sub-5,sub-5_sub-13_sub-24_sub-38_sub-44_sub-58,XGBoost,0.6792
sub-5,sub-5_sub-13_sub-24_sub-38_sub-44_sub-58,SVM,0.6747
sub-5,sub-5_sub-13_sub-24_sub-38_sub-44_sub-58,MLP_(Neural_Network),0.7267
sub-5,sub-5_sub-29_sub-36_sub-38_sub-40_sub-57,KNN,0.6599
sub-5,sub-5_sub-29_sub-36_sub-38_sub-40_sub-57,XGBoost,0.6557
sub-5,sub-5_sub-29_sub-36_sub-38_sub-40_sub-57,SVM,0.6375
sub-5,sub-5_sub-29_sub-36_sub-38_sub-40_sub-57,MLP_(Neural_Network),0.7269
sub-5,sub-5_sub-22_sub-33_sub-44_sub-45_sub-58,KNN,0.6331
sub-5,sub-5_sub-22_sub-33_sub-44_sub-45_sub-58,XGBoost,0.5998
sub-5,sub-5_sub-22_sub-33_sub-44_sub-45_sub-58,SVM,0.6401
sub-5,sub-5_sub-11_sub-18_sub-44_sub-54_sub-60,KNN,0.7342
sub-5,sub-5_sub-11_sub-18_sub-44_sub-54_sub-60,XGBoost,0.6961
sub-5,sub-5_sub-11_sub-18_sub-44_sub-54_sub-60,SVM,0.7474
sub-5,sub-5_sub-11_sub-18_sub-44_sub-54_sub-60,MLP_(Neural_Network),0.7425
sub-6,sub-2_sub-6_sub-14_sub-44_sub-53_sub-56,KNN,0.6457
sub-6,sub-2_sub-6_sub-14_sub-44_sub-53_sub-56,XGBoost,0.5728
sub-6,sub-2_sub-6_sub-14_sub-44_sub-53_sub-56,SVM,0.7055
