Subject,Fold,Model,Accuracy
sub-18,sub-16_sub-17_sub-18_sub-52_sub-53_sub-54,KNN,0.4941
sub-18,sub-16_sub-17_sub-18_sub-52_sub-53_sub-54,XGBoost,0.5353
sub-18,sub-16_sub-17_sub-18_sub-52_sub-53_sub-54,SVM,0.5281
sub-18,sub-16_sub-17_sub-18_sub-52_sub-53_sub-54,MLP_(Neural_Network),0.5457
sub-19,sub-19_sub-20_sub-21_sub-55_sub-56_sub-57,KNN,0.4566
sub-19,sub-19_sub-20_sub-21_sub-55_sub-56_sub-57,XGBoost,0.6222
sub-19,sub-19_sub-20_sub-21_sub-55_sub-56_sub-57,SVM,0.6871
sub-19,sub-19_sub-20_sub-21_sub-55_sub-56_sub-57,MLP_(Neural_Network),0.5621
sub-20,sub-19_sub-20_sub-21_sub-55_sub-56_sub-57,KNN,0.4566
sub-20,sub-19_sub-20_sub-21_sub-55_sub-56_sub-57,XGBoost,0.6222
sub-20,sub-19_sub-20_sub-21_sub-55_sub-56_sub-57,SVM,0.6871
sub-20,sub-19_sub-20_sub-21_sub-55_sub-56_sub-57,MLP_(Neural_Network),0.5621
sub-21,sub-19_sub-20_sub-21_sub-55_sub-56_sub-57,KNN,0.4566
sub-21,sub-19_sub-20_sub-21_sub-55_sub-56_sub-57,XGBoost,0.6222
sub-21,sub-19_sub-20_sub-21_sub-55_sub-56_sub-57,SVM,0.6871
sub-21,sub-19_sub-20_sub-21_sub-55_sub-56_sub-57,MLP_(Neural_Network),0.5621
sub-22,sub-22_sub-23_sub-24_sub-58_sub-59_sub-60,KNN,0.4914
sub-22,sub-22_sub-23_sub-24_sub-58_sub-59_sub-60,XGBoost,0.5000
sub-22,sub-22_sub-23_sub-24_sub-58_sub-59_sub-60,SVM,0.5027
sub-22,sub-22_sub-23_sub-24_sub-58_sub-59_sub-60,MLP_(Neural_Network),0.4997
sub-23,sub-22_sub-23_sub-24_sub-58_sub-59_sub-60,KNN,0.4914
sub-23,sub-22_sub-23_sub-24_sub-58_sub-59_sub-60,XGBoost,0.5000
sub-23,sub-22_sub-23_sub-24_sub-58_sub-59_sub-60,SVM,0.5027
sub-23,sub-22_sub-23_sub-24_sub-58_sub-59_sub-60,MLP_(Neural_Network),0.4997
sub-24,sub-22_sub-23_sub-24_sub-58_sub-59_sub-60,KNN,0.4914
sub-24,sub-22_sub-23_sub-24_sub-58_sub-59_sub-60,XGBoost,0.5000
sub-24,sub-22_sub-23_sub-24_sub-58_sub-59_sub-60,SVM,0.5027
sub-24,sub-22_sub-23_sub-24_sub-58_sub-59_sub-60,MLP_(Neural_Network),0.4997
sub-25,sub-25_sub-26_sub-27_sub-61_sub-62_sub-63,KNN,0.5441
sub-25,sub-25_sub-26_sub-27_sub-61_sub-62_sub-63,XGBoost,0.4720
sub-25,sub-25_sub-26_sub-27_sub-61_sub-62_sub-63,SVM,0.4529
sub-25,sub-25_sub-26_sub-27_sub-61_sub-62_sub-63,MLP_(Neural_Network),0.4626
sub-26,sub-25_sub-26_sub-27_sub-61_sub-62_sub-63,KNN,0.5441
sub-26,sub-25_sub-26_sub-27_sub-61_sub-62_sub-63,XGBoost,0.4720
sub-26,sub-25_sub-26_sub-27_sub-61_sub-62_sub-63,SVM,0.4529
sub-26,sub-25_sub-26_sub-27_sub-61_sub-62_sub-63,MLP_(Neural_Network),0.4626
sub-27,sub-25_sub-26_sub-27_sub-61_sub-62_sub-63,KNN,0.5441
sub-27,sub-25_sub-26_sub-27_sub-61_sub-62_sub-63,XGBoost,0.4720
sub-27,sub-25_sub-26_sub-27_sub-61_sub-62_sub-63,SVM,0.4529
sub-27,sub-25_sub-26_sub-27_sub-61_sub-62_sub-63,MLP_(Neural_Network),0.4626
sub-28,sub-28_sub-29_sub-30_sub-37_sub-64_sub-65,KNN,0.6326
sub-28,sub-28_sub-29_sub-30_sub-37_sub-64_sub-65,XGBoost,0.6707
sub-28,sub-28_sub-29_sub-30_sub-37_sub-64_sub-65,SVM,0.6133
sub-28,sub-28_sub-29_sub-30_sub-37_sub-64_sub-65,MLP_(Neural_Network),0.4694
sub-29,sub-28_sub-29_sub-30_sub-37_sub-64_sub-65,KNN,0.6326
sub-29,sub-28_sub-29_sub-30_sub-37_sub-64_sub-65,XGBoost,0.6707
sub-29,sub-28_sub-29_sub-30_sub-37_sub-64_sub-65,SVM,0.6133
sub-29,sub-28_sub-29_sub-30_sub-37_sub-64_sub-65,MLP_(Neural_Network),0.4694
sub-30,sub-28_sub-29_sub-30_sub-37_sub-64_sub-65,KNN,0.6326
sub-30,sub-28_sub-29_sub-30_sub-37_sub-64_sub-65,XGBoost,0.6707
sub-30,sub-28_sub-29_sub-30_sub-37_sub-64_sub-65,SVM,0.6133
sub-30,sub-28_sub-29_sub-30_sub-37_sub-64_sub-65,MLP_(Neural_Network),0.4694
sub-31,sub-31_sub-32_sub-33_sub-38_sub-39_sub-40,KNN,0.5044
sub-31,sub-31_sub-32_sub-33_sub-38_sub-39_sub-40,XGBoost,0.5301
sub-31,sub-31_sub-32_sub-33_sub-38_sub-39_sub-40,SVM,0.5257
sub-31,sub-31_sub-32_sub-33_sub-38_sub-39_sub-40,MLP_(Neural_Network),0.6632
sub-32,sub-31_sub-32_sub-33_sub-38_sub-39_sub-40,KNN,0.5044
sub-32,sub-31_sub-32_sub-33_sub-38_sub-39_sub-40,XGBoost,0.5301
sub-32,sub-31_sub-32_sub-33_sub-38_sub-39_sub-40,SVM,0.5257
sub-32,sub-31_sub-32_sub-33_sub-38_sub-39_sub-40,MLP_(Neural_Network),0.6632
sub-33,sub-31_sub-32_sub-33_sub-38_sub-39_sub-40,KNN,0.5044
sub-33,sub-31_sub-32_sub-33_sub-38_sub-39_sub-40,XGBoost,0.5301
sub-33,sub-31_sub-32_sub-33_sub-38_sub-39_sub-40,SVM,0.5257
sub-33,sub-31_sub-32_sub-33_sub-38_sub-39_sub-40,MLP_(Neural_Network),0.6632
sub-34,sub-34_sub-35_sub-36_sub-41_sub-42_sub-43,KNN,0.5491
sub-34,sub-34_sub-35_sub-36_sub-41_sub-42_sub-43,XGBoost,0.5014
sub-34,sub-34_sub-35_sub-36_sub-41_sub-42_sub-43,SVM,0.5050
sub-34,sub-34_sub-35_sub-36_sub-41_sub-42_sub-43,MLP_(Neural_Network),0.5617
sub-35,sub-34_sub-35_sub-36_sub-41_sub-42_sub-43,KNN,0.5491
sub-35,sub-34_sub-35_sub-36_sub-41_sub-42_sub-43,XGBoost,0.5014
sub-35,sub-34_sub-35_sub-36_sub-41_sub-42_sub-43,SVM,0.5050
sub-35,sub-34_sub-35_sub-36_sub-41_sub-42_sub-43,MLP_(Neural_Network),0.5617
sub-36,sub-34_sub-35_sub-36_sub-41_sub-42_sub-43,KNN,0.5491
