Subject,Median_Accuracy,N_Folds_Observed
sub-1,0.5063,8
sub-2,0.5234,20
sub-3,0.5477,8
sub-4,0.4979,20
sub-5,0.5297,28
sub-6,0.5138,28
sub-7,0.5381,16
sub-8,0.5130,28
sub-9,0.5211,8
sub-10,0.5841,8
sub-11,0.4978,24
sub-12,0.5245,8
sub-13,0.5414,20
sub-14,0.5157,20
sub-15,0.5355,28
sub-16,0.5618,12
sub-17,0.5523,20
sub-18,0.5118,16
sub-19,0.5985,12
sub-20,0.5524,12
sub-21,0.5248,12
sub-22,0.5534,8
sub-23,0.5917,8
sub-24,0.5135,12
sub-25,0.4888,12
sub-26,0.5409,16
sub-27,0.5906,16
sub-28,0.5451,28
sub-29,0.5547,12
sub-30,0.5022,16
sub-31,0.5398,8
sub-32,0.5324,24
sub-33,0.5647,12
sub-34,0.5527,12
sub-35,0.5318,28
sub-36,0.5367,32
sub-37,0.5893,20
sub-38,0.5195,24
sub-39,0.5296,16
sub-40,0.5417,20
sub-41,0.5122,32
sub-42,0.5170,16
sub-43,0.5651,20
sub-44,0.5407,44
sub-45,0.5324,32
sub-46,0.5111,8
sub-47,0.5308,20
sub-48,0.5333,16
sub-49,0.5412,24
sub-50,0.5349,8
sub-51,0.5674,24
sub-52,0.5267,8
sub-53,0.5182,16
sub-54,0.5112,24
sub-55,0.5452,20
sub-56,0.5373,12
sub-57,0.5126,28
sub-58,0.5694,20
sub-59,0.5043,16
sub-60,0.5283,40
sub-61,0.5303,24
sub-62,0.5730,12
sub-63,0.5141,12
sub-64,0.6203,24
sub-65,0.5084,20
