Subject,Median_Accuracy_Current_Method,N_Folds,N_Model_Observations,Calculation_Method,Note
sub-32,N/A,0,0,No data,Subject not in test folds
sub-33,0.7831,1,4,Median of 4 accuracies (across 1 folds × multiple models),Mixed: 4 accuracies from 1 fold(s) and multiple models
sub-34,N/A,0,0,No data,Subject not in test folds
sub-35,0.6285,2,8,Median of 8 accuracies (across 2 folds × multiple models),Mixed: 8 accuracies from 2 fold(s) and multiple models
sub-36,0.6076,1,4,Median of 4 accuracies (across 1 folds × multiple models),Mixed: 4 accuracies from 1 fold(s) and multiple models
sub-37,0.7850,1,4,Median of 4 accuracies (across 1 folds × multiple models),Mixed: 4 accuracies from 1 fold(s) and multiple models
sub-38,0.6198,2,8,Median of 8 accuracies (across 2 folds × multiple models),Mixed: 8 accuracies from 2 fold(s) and multiple models
sub-39,0.7310,3,12,Median of 12 accuracies (across 3 folds × multiple models),Mixed: 12 accuracies from 3 fold(s) and multiple models
sub-40,0.7352,1,4,Median of 4 accuracies (across 1 folds × multiple models),Mixed: 4 accuracies from 1 fold(s) and multiple models
sub-41,0.7307,2,8,Median of 8 accuracies (across 2 folds × multiple models),Mixed: 8 accuracies from 2 fold(s) and multiple models
sub-42,0.8758,2,8,Median of 8 accuracies (across 2 folds × multiple models),Mixed: 8 accuracies from 2 fold(s) and multiple models
sub-43,N/A,0,0,No data,Subject not in test folds
sub-44,0.7206,4,16,Median of 16 accuracies (across 4 folds × multiple models),Mixed: 16 accuracies from 4 fold(s) and multiple models
sub-45,N/A,0,0,No data,Subject not in test folds
sub-46,N/A,0,0,No data,Subject not in test folds
sub-47,0.7652,1,4,Median of 4 accuracies (across 1 folds × multiple models),Mixed: 4 accuracies from 1 fold(s) and multiple models
sub-48,0.8274,2,8,Median of 8 accuracies (across 2 folds × multiple models),Mixed: 8 accuracies from 2 fold(s) and multiple models
sub-49,0.8418,4,16,Median of 16 accuracies (across 4 folds × multiple models),Mixed: 16 accuracies from 4 fold(s) and multiple models
sub-50,0.5338,1,4,Median of 4 accuracies (across 1 folds × multiple models),Mixed: 4 accuracies from 1 fold(s) and multiple models
sub-51,0.6278,2,8,Median of 8 accuracies (across 2 folds × multiple models),Mixed: 8 accuracies from 2 fold(s) and multiple models
sub-52,N/A,0,0,No data,Subject not in test folds
sub-53,N/A,0,0,No data,Subject not in test folds
sub-54,0.7534,4,16,Median of 16 accuracies (across 4 folds × multiple models),Mixed: 16 accuracies from 4 fold(s) and multiple models
sub-55,0.9196,1,4,Median of 4 accuracies (across 1 folds × multiple models),Mixed: 4 accuracies from 1 fold(s) and multiple models
sub-56,0.7271,3,12,Median of 12 accuracies (across 3 folds × multiple models),Mixed: 12 accuracies from 3 fold(s) and multiple models
sub-57,0.7810,1,4,Median of 4 accuracies (across 1 folds × multiple models),Mixed: 4 accuracies from 1 fold(s) and multiple models
sub-58,0.7877,2,8,Median of 8 accuracies (across 2 folds × multiple models),Mixed: 8 accuracies from 2 fold(s) and multiple models
sub-59,0.4658,3,12,Median of 12 accuracies (across 3 folds × multiple models),Mixed: 12 accuracies from 3 fold(s) and multiple models
sub-60,0.6294,1,4,Median of 4 accuracies (across 1 folds × multiple models),Mixed: 4 accuracies from 1 fold(s) and multiple models
sub-61,0.5507,3,12,Median of 12 accuracies (across 3 folds × multiple models),Mixed: 12 accuracies from 3 fold(s) and multiple models
sub-62,0.8441,3,12,Median of 12 accuracies (across 3 folds × multiple models),Mixed: 12 accuracies from 3 fold(s) and multiple models
sub-63,0.5875,2,8,Median of 8 accuracies (across 2 folds × multiple models),Mixed: 8 accuracies from 2 fold(s) and multiple models
sub-64,0.8386,1,4,Median of 4 accuracies (across 1 folds × multiple models),Mixed: 4 accuracies from 1 fold(s) and multiple models
sub-65,0.6495,1,4,Median of 4 accuracies (across 1 folds × multiple models),Mixed: 4 accuracies from 1 fold(s) and multiple models
