Subject,Fold,Model,Accuracy
sub-15,sub-13_sub-14_sub-15_sub-49_sub-50_sub-51,MLP_(Neural_Network),0.7228
sub-16,sub-16_sub-17_sub-18_sub-52_sub-53_sub-54,KNN,0.7933
sub-16,sub-16_sub-17_sub-18_sub-52_sub-53_sub-54,XGBoost,0.6814
sub-16,sub-16_sub-17_sub-18_sub-52_sub-53_sub-54,SVM,0.8033
sub-16,sub-16_sub-17_sub-18_sub-52_sub-53_sub-54,MLP_(Neural_Network),0.7677
sub-17,sub-16_sub-17_sub-18_sub-52_sub-53_sub-54,KNN,0.7933
sub-17,sub-16_sub-17_sub-18_sub-52_sub-53_sub-54,XGBoost,0.6814
sub-17,sub-16_sub-17_sub-18_sub-52_sub-53_sub-54,SVM,0.8033
sub-17,sub-16_sub-17_sub-18_sub-52_sub-53_sub-54,MLP_(Neural_Network),0.7677
sub-18,sub-16_sub-17_sub-18_sub-52_sub-53_sub-54,KNN,0.7933
sub-18,sub-16_sub-17_sub-18_sub-52_sub-53_sub-54,XGBoost,0.6814
sub-18,sub-16_sub-17_sub-18_sub-52_sub-53_sub-54,SVM,0.8033
sub-18,sub-16_sub-17_sub-18_sub-52_sub-53_sub-54,MLP_(Neural_Network),0.7677
sub-19,sub-19_sub-20_sub-21_sub-55_sub-56_sub-57,KNN,0.7910
sub-19,sub-19_sub-20_sub-21_sub-55_sub-56_sub-57,XGBoost,0.8822
sub-19,sub-19_sub-20_sub-21_sub-55_sub-56_sub-57,SVM,0.7897
sub-19,sub-19_sub-20_sub-21_sub-55_sub-56_sub-57,MLP_(Neural_Network),0.8999
sub-20,sub-19_sub-20_sub-21_sub-55_sub-56_sub-57,KNN,0.7910
sub-20,sub-19_sub-20_sub-21_sub-55_sub-56_sub-57,XGBoost,0.8822
sub-20,sub-19_sub-20_sub-21_sub-55_sub-56_sub-57,SVM,0.7897
sub-20,sub-19_sub-20_sub-21_sub-55_sub-56_sub-57,MLP_(Neural_Network),0.8999
sub-21,sub-19_sub-20_sub-21_sub-55_sub-56_sub-57,KNN,0.7910
sub-21,sub-19_sub-20_sub-21_sub-55_sub-56_sub-57,XGBoost,0.8822
sub-21,sub-19_sub-20_sub-21_sub-55_sub-56_sub-57,SVM,0.7897
sub-21,sub-19_sub-20_sub-21_sub-55_sub-56_sub-57,MLP_(Neural_Network),0.8999
sub-22,sub-22_sub-23_sub-24_sub-58_sub-59_sub-60,KNN,0.5997
sub-22,sub-22_sub-23_sub-24_sub-58_sub-59_sub-60,XGBoost,0.4920
sub-22,sub-22_sub-23_sub-24_sub-58_sub-59_sub-60,SVM,0.5585
sub-22,sub-22_sub-23_sub-24_sub-58_sub-59_sub-60,MLP_(Neural_Network),0.4441
sub-23,sub-22_sub-23_sub-24_sub-58_sub-59_sub-60,KNN,0.5997
sub-23,sub-22_sub-23_sub-24_sub-58_sub-59_sub-60,XGBoost,0.4920
sub-23,sub-22_sub-23_sub-24_sub-58_sub-59_sub-60,SVM,0.5585
sub-23,sub-22_sub-23_sub-24_sub-58_sub-59_sub-60,MLP_(Neural_Network),0.4441
sub-24,sub-22_sub-23_sub-24_sub-58_sub-59_sub-60,KNN,0.5997
sub-24,sub-22_sub-23_sub-24_sub-58_sub-59_sub-60,XGBoost,0.4920
sub-24,sub-22_sub-23_sub-24_sub-58_sub-59_sub-60,SVM,0.5585
sub-24,sub-22_sub-23_sub-24_sub-58_sub-59_sub-60,MLP_(Neural_Network),0.4441
sub-25,sub-25_sub-26_sub-27_sub-61_sub-62_sub-63,KNN,0.6502
sub-25,sub-25_sub-26_sub-27_sub-61_sub-62_sub-63,XGBoost,0.6202
sub-25,sub-25_sub-26_sub-27_sub-61_sub-62_sub-63,SVM,0.5634
sub-25,sub-25_sub-26_sub-27_sub-61_sub-62_sub-63,MLP_(Neural_Network),0.5788
sub-26,sub-25_sub-26_sub-27_sub-61_sub-62_sub-63,KNN,0.6502
sub-26,sub-25_sub-26_sub-27_sub-61_sub-62_sub-63,XGBoost,0.6202
sub-26,sub-25_sub-26_sub-27_sub-61_sub-62_sub-63,SVM,0.5634
sub-26,sub-25_sub-26_sub-27_sub-61_sub-62_sub-63,MLP_(Neural_Network),0.5788
sub-27,sub-25_sub-26_sub-27_sub-61_sub-62_sub-63,KNN,0.6502
sub-27,sub-25_sub-26_sub-27_sub-61_sub-62_sub-63,XGBoost,0.6202
sub-27,sub-25_sub-26_sub-27_sub-61_sub-62_sub-63,SVM,0.5634
sub-27,sub-25_sub-26_sub-27_sub-61_sub-62_sub-63,MLP_(Neural_Network),0.5788
sub-28,sub-28_sub-29_sub-30_sub-37_sub-64_sub-65,KNN,0.7047
sub-28,sub-28_sub-29_sub-30_sub-37_sub-64_sub-65,XGBoost,0.6092
sub-28,sub-28_sub-29_sub-30_sub-37_sub-64_sub-65,SVM,0.7349
sub-28,sub-28_sub-29_sub-30_sub-37_sub-64_sub-65,MLP_(Neural_Network),0.6617
sub-29,sub-28_sub-29_sub-30_sub-37_sub-64_sub-65,KNN,0.7047
sub-29,sub-28_sub-29_sub-30_sub-37_sub-64_sub-65,XGBoost,0.6092
sub-29,sub-28_sub-29_sub-30_sub-37_sub-64_sub-65,SVM,0.7349
