Subject,Median_Accuracy_Current_Method,N_Folds,N_Model_Observations,Calculation_Method,Note
sub-56,0.5373,3,12,Median of 12 accuracies (across 3 folds × multiple models),Mixed: 12 accuracies from 3 fold(s) and multiple models
sub-57,0.5126,7,28,Median of 28 accuracies (across 7 folds × multiple models),Mixed: 28 accuracies from 7 fold(s) and multiple models
sub-58,0.5694,5,20,Median of 20 accuracies (across 5 folds × multiple models),Mixed: 20 accuracies from 5 fold(s) and multiple models
sub-59,0.5043,4,16,Median of 16 accuracies (across 4 folds × multiple models),Mixed: 16 accuracies from 4 fold(s) and multiple models
sub-60,0.5283,10,40,Median of 40 accuracies (across 10 folds × multiple models),Mixed: 40 accuracies from 10 fold(s) and multiple models
sub-61,0.5303,6,24,Median of 24 accuracies (across 6 folds × multiple models),Mixed: 24 accuracies from 6 fold(s) and multiple models
sub-62,0.5730,3,12,Median of 12 accuracies (across 3 folds × multiple models),Mixed: 12 accuracies from 3 fold(s) and multiple models
sub-63,0.5141,3,12,Median of 12 accuracies (across 3 folds × multiple models),Mixed: 12 accuracies from 3 fold(s) and multiple models
sub-64,0.6203,6,24,Median of 24 accuracies (across 6 folds × multiple models),Mixed: 24 accuracies from 6 fold(s) and multiple models
sub-65,0.5084,5,20,Median of 20 accuracies (across 5 folds × multiple models),Mixed: 20 accuracies from 5 fold(s) and multiple models
