hyperparam_hidden_layer_sizes,hyperparam_activation,hyperparam_alpha,mean_test_accuracy,std_test_accuracy,mean_train_accuracy,std_train_accuracy,mean_test_f1,mean_test_precision,mean_test_recall,num_folds
"[200, 100, 50]",tanh,0.1,0.8444541995902839,0.0,0.8527379639838295,0.0,0.8430929156759988,0.8473913290257288,0.8444541995902839,1
"[150, 50]",tanh,0.1,0.8217734855136084,0.0,0.8227857405365674,0.0,0.822016790031525,0.8315892349031037,0.8217734855136084,1
[100],tanh,0.1,0.7964588820602868,0.0,0.7984564498346196,0.0,0.7920901027703605,0.8062993322744845,0.7964588820602868,1
