hyperparam_hidden_layer_sizes,hyperparam_activation,hyperparam_alpha,mean_test_accuracy,std_test_accuracy,mean_train_accuracy,std_train_accuracy,mean_test_f1,mean_test_precision,mean_test_recall,num_folds
"[200, 100, 50]",tanh,0.1,0.9817091015510682,0.0,0.9960308710033076,0.0,0.9817614324855044,0.98211122120124,0.9817091015510682,1
"[150, 50]",tanh,0.1,0.9771729587357331,0.0,0.990885703785373,0.0,0.977192358737356,0.9774980545916037,0.9771729587357331,1
[100],tanh,0.1,0.9604916593503073,0.0,0.9778390297684675,0.0,0.9604807051101482,0.9610990561467987,0.9604916593503073,1
