result_name,status,job_id,partition,account,resources,protocol,models,n_folds,holdout_subjects_per_fold,holdout_class_balance,seed,epochs,batch_size,device,cuda_device_name,elapsed,peak_rss_kb,mean_balanced_accuracy_canonical_eegnet,sd_balanced_accuracy_canonical_eegnet,mean_balanced_accuracy_eeg_conformer_small,sd_balanced_accuracy_eeg_conformer_small,mean_subject_majority_accuracy,shared_subject_count,local_output_dir,hpc_output_dir,notes
DL_LPSO_P6_ad_cntrl_random50_braindecode_gpu_pilot10,completed,14772889,h200_tandon,torch_pr_60_tandon_advanced,"1 H200 GPU; 4 CPU; 56G RAM",lpso_p6_random_stratified,"canonical_eegnet;eeg_conformer_small",10,6,"3 AD + 3 CN",42,10,32,cuda,NVIDIA H200,00:11:29,5056504,0.5257511050773515,0.10029190736657222,0.534853212290804,0.11077371572496643,0.5666666666666667,0,/Users/user/projects/eeg-full-pipeline/rebuttal/response_drafts/hpc_results_2026-07-25/raw_deep_learning/DL_LPSO_P6_ad_cntrl_random50_braindecode_gpu_pilot10/deep_learning_lpso_p6_outputs,/scratch/ans9868/rebuttal-deep-eeg-full-pipeline/eeg-full-pipeline/data/DL_LPSO_P6_ad_cntrl_random50_braindecode_gpu_pilot10/deep_learning_lpso_p6_outputs,"Completed true subject-disjoint neural P=6 pilot; all checked folds have shared_subject_count=0."
DL_LPSO_P6_ad_cntrl_random50_braindecode_gpu_full50,completed,14774256,h200_tandon,torch_pr_60_tandon_advanced,"1 H200 GPU; 4 CPU; 56G RAM",lpso_p6_random_stratified,"canonical_eegnet;eeg_conformer_small",50,6,"3 AD + 3 CN",42,10,32,cuda,NVIDIA H200,00:36:06,5278352,0.4986603335320898,0.1217940389652327,0.5062130098856814,0.11273924426657049,"canonical=0.4966666667;conformer=0.53",0,,/scratch/ans9868/rebuttal-deep-eeg-full-pipeline/eeg-full-pipeline/data/DL_LPSO_P6_ad_cntrl_random50_braindecode_gpu_full50/deep_learning_lpso_p6_outputs,"Completed full 50-fold true subject-disjoint neural P=6 run. Mean balanced accuracy is chance-level despite high W/C overlap performance."
