model,n_seeds,mean_balanced_accuracy,sd_balanced_accuracy,min_balanced_accuracy,max_balanced_accuracy,mean_accuracy,shared_subject_count,job_id_for_seeds43_51,elapsed_for_seeds43_51,peak_rss_kb_for_seeds43_51,hpc_output_pattern
canonical_eegnet,10,0.9092182986361803,0.010962986636506,0.8921515113391855,0.9204962362023938,0.9110481172584291,65,14774663,02:16:49,12894076,/scratch/ans9868/rebuttal-deep-eeg-full-pipeline/eeg-full-pipeline/data/DL_W_C_ad_cntrl_seed{seed}_hpc_braindecode_full/deep_learning_smoke_outputs/summary_metrics.csv
eeg_conformer_small,10,0.9824641476018884,0.006252818656953,0.9719545052137084,0.9904081384350271,0.9822939384724144,65,14774663,02:16:49,12894076,/scratch/ans9868/rebuttal-deep-eeg-full-pipeline/eeg-full-pipeline/data/DL_W_C_ad_cntrl_seed{seed}_hpc_braindecode_full/deep_learning_smoke_outputs/summary_metrics.csv
