experiment,subject_id,model,median_accuracy,mean_accuracy,n_folds
ANOVA_L_6_Uniform,sub-11,XGBoost,0.9029,0.9029,1
ANOVA_L_6_Uniform,sub-12,KNN,0.7077,0.7077,1
ANOVA_L_6_Uniform,sub-12,MLP_(Neural_Network),0.6774,0.6774,1
ANOVA_L_6_Uniform,sub-12,SVM,0.7056,0.7056,1
ANOVA_L_6_Uniform,sub-12,XGBoost,0.627,0.627,1
ANOVA_L_6_Uniform,sub-13,KNN,0.8012,0.8012,1
ANOVA_L_6_Uniform,sub-13,MLP_(Neural_Network),0.8456,0.8456,1
ANOVA_L_6_Uniform,sub-13,SVM,0.9961,0.9961,1
ANOVA_L_6_Uniform,sub-13,XGBoost,0.6525,0.6525,1
ANOVA_L_6_Uniform,sub-14,KNN,0.8019,0.8019,1
ANOVA_L_6_Uniform,sub-14,MLP_(Neural_Network),0.9701,0.9701,1
ANOVA_L_6_Uniform,sub-14,SVM,0.9776,0.9776,1
ANOVA_L_6_Uniform,sub-14,XGBoost,0.8112,0.8112,1
ANOVA_L_6_Uniform,sub-15,KNN,0.6318,0.6318,1
ANOVA_L_6_Uniform,sub-15,MLP_(Neural_Network),0.8851,0.8851,1
ANOVA_L_6_Uniform,sub-15,SVM,0.7652,0.7652,1
ANOVA_L_6_Uniform,sub-15,XGBoost,0.8767,0.8767,1
ANOVA_L_6_Uniform,sub-16,KNN,0.7287,0.7287,1
ANOVA_L_6_Uniform,sub-16,MLP_(Neural_Network),0.9164,0.9164,1
ANOVA_L_6_Uniform,sub-16,SVM,1.0,1.0,1
ANOVA_L_6_Uniform,sub-16,XGBoost,0.9181,0.9181,1
ANOVA_L_6_Uniform,sub-17,KNN,0.7894,0.7894,1
ANOVA_L_6_Uniform,sub-17,MLP_(Neural_Network),0.7619,0.7619,1
ANOVA_L_6_Uniform,sub-17,SVM,0.9963,0.9963,1
ANOVA_L_6_Uniform,sub-17,XGBoost,0.8004,0.8004,1
ANOVA_L_6_Uniform,sub-18,KNN,0.8061,0.8061,1
ANOVA_L_6_Uniform,sub-18,MLP_(Neural_Network),0.9192,0.9192,1
ANOVA_L_6_Uniform,sub-18,SVM,0.9874,0.9874,1
ANOVA_L_6_Uniform,sub-18,XGBoost,0.939,0.939,1
ANOVA_L_6_Uniform,sub-19,KNN,0.5667,0.5667,1
ANOVA_L_6_Uniform,sub-19,MLP_(Neural_Network),0.4517,0.4517,1
ANOVA_L_6_Uniform,sub-19,SVM,0.975,0.975,1
ANOVA_L_6_Uniform,sub-19,XGBoost,0.7983,0.7983,1
ANOVA_L_6_Uniform,sub-20,KNN,0.7594,0.7594,1
ANOVA_L_6_Uniform,sub-20,MLP_(Neural_Network),0.3708,0.3708,1
ANOVA_L_6_Uniform,sub-20,SVM,0.9947,0.9947,1
ANOVA_L_6_Uniform,sub-20,XGBoost,0.7879,0.7879,1
ANOVA_L_6_Uniform,sub-21,KNN,0.7648,0.7648,1
ANOVA_L_6_Uniform,sub-21,MLP_(Neural_Network),0.8849,0.8849,1
ANOVA_L_6_Uniform,sub-21,SVM,0.9984,0.9984,1
ANOVA_L_6_Uniform,sub-21,XGBoost,0.9901,0.9901,1
ANOVA_L_6_Uniform,sub-22,KNN,0.7351,0.7351,1
ANOVA_L_6_Uniform,sub-22,MLP_(Neural_Network),0.692,0.692,1
ANOVA_L_6_Uniform,sub-22,SVM,0.9548,0.9548,1
ANOVA_L_6_Uniform,sub-22,XGBoost,0.6509,0.6509,1
ANOVA_L_6_Uniform,sub-23,KNN,0.6888,0.6888,1
ANOVA_L_6_Uniform,sub-23,MLP_(Neural_Network),0.6556,0.6556,1
ANOVA_L_6_Uniform,sub-23,SVM,0.9628,0.9628,1
ANOVA_L_6_Uniform,sub-23,XGBoost,0.4834,0.4834,1
ANOVA_L_6_Uniform,sub-24,KNN,0.9485,0.9485,1
ANOVA_L_6_Uniform,sub-24,MLP_(Neural_Network),0.9109,0.9109,1
ANOVA_L_6_Uniform,sub-24,SVM,0.998,0.998,1
ANOVA_L_6_Uniform,sub-24,XGBoost,0.7842,0.7842,1
ANOVA_L_6_Uniform,sub-25,KNN,0.131,0.131,1
ANOVA_L_6_Uniform,sub-25,MLP_(Neural_Network),0.1218,0.1218,1
ANOVA_L_6_Uniform,sub-25,SVM,0.1632,0.1632,1
ANOVA_L_6_Uniform,sub-25,XGBoost,0.1977,0.1977,1
ANOVA_L_6_Uniform,sub-26,KNN,0.8933,0.8933,1
ANOVA_L_6_Uniform,sub-26,MLP_(Neural_Network),0.2779,0.2779,1
ANOVA_L_6_Uniform,sub-26,SVM,0.7792,0.7792,1
ANOVA_L_6_Uniform,sub-26,XGBoost,0.5261,0.5261,1
ANOVA_L_6_Uniform,sub-27,KNN,0.9865,0.9865,1
ANOVA_L_6_Uniform,sub-27,MLP_(Neural_Network),0.9364,0.9364,1
ANOVA_L_6_Uniform,sub-27,SVM,1.0,1.0,1
ANOVA_L_6_Uniform,sub-27,XGBoost,0.9846,0.9846,1
ANOVA_L_6_Uniform,sub-28,KNN,0.8987,0.8987,1
ANOVA_L_6_Uniform,sub-28,MLP_(Neural_Network),0.9732,0.9732,1
ANOVA_L_6_Uniform,sub-28,SVM,1.0,1.0,1
ANOVA_L_6_Uniform,sub-28,XGBoost,0.218,0.218,1
ANOVA_L_6_Uniform,sub-29,KNN,0.7484,0.7484,1
ANOVA_L_6_Uniform,sub-29,MLP_(Neural_Network),0.8086,0.8086,1
ANOVA_L_6_Uniform,sub-29,SVM,0.9978,0.9978,1
ANOVA_L_6_Uniform,sub-29,XGBoost,0.3269,0.3269,1
ANOVA_L_6_Uniform,sub-30,KNN,0.8872,0.8872,1
ANOVA_L_6_Uniform,sub-30,MLP_(Neural_Network),0.7378,0.7378,1
ANOVA_L_6_Uniform,sub-30,SVM,0.9909,0.9909,1
ANOVA_L_6_Uniform,sub-30,XGBoost,0.9512,0.9512,1
ANOVA_L_6_Uniform,sub-31,KNN,0.3343,0.3343,1
ANOVA_L_6_Uniform,sub-31,MLP_(Neural_Network),0.3329,0.3329,1
ANOVA_L_6_Uniform,sub-31,SVM,0.7179,0.7179,1
ANOVA_L_6_Uniform,sub-31,XGBoost,0.4147,0.4147,1
ANOVA_L_6_Uniform,sub-32,KNN,0.6614,0.6614,1
ANOVA_L_6_Uniform,sub-32,MLP_(Neural_Network),0.9603,0.9603,1
ANOVA_L_6_Uniform,sub-32,SVM,0.9841,0.9841,1
ANOVA_L_6_Uniform,sub-32,XGBoost,0.9868,0.9868,1
ANOVA_L_6_Uniform,sub-33,KNN,0.6064,0.6064,1
ANOVA_L_6_Uniform,sub-33,MLP_(Neural_Network),0.8681,0.8681,1
ANOVA_L_6_Uniform,sub-33,SVM,0.983,0.983,1
ANOVA_L_6_Uniform,sub-33,XGBoost,0.8043,0.8043,1
ANOVA_L_6_Uniform,sub-34,KNN,0.8221,0.8221,1
ANOVA_L_6_Uniform,sub-34,MLP_(Neural_Network),0.9885,0.9885,1
ANOVA_L_6_Uniform,sub-34,SVM,0.9967,0.9967,1
ANOVA_L_6_Uniform,sub-34,XGBoost,0.8731,0.8731,1
ANOVA_L_6_Uniform,sub-35,KNN,0.9276,0.9276,1
ANOVA_L_6_Uniform,sub-35,MLP_(Neural_Network),0.8753,0.8753,1
ANOVA_L_6_Uniform,sub-35,SVM,1.0,1.0,1
ANOVA_L_6_Uniform,sub-35,XGBoost,0.8008,0.8008,1
ANOVA_L_6_Uniform,sub-36,KNN,0.4523,0.4523,1
ANOVA_L_6_Uniform,sub-36,MLP_(Neural_Network),0.636,0.636,1
ANOVA_L_6_Uniform,sub-36,SVM,0.6414,0.6414,1
ANOVA_L_6_Uniform,sub-36,XGBoost,0.5135,0.5135,1
ANOVA_L_6_Uniform,sub-37,KNN,0.6228,0.6228,2
ANOVA_L_6_Uniform,sub-37,MLP_(Neural_Network),0.6118,0.6118,2
ANOVA_L_6_Uniform,sub-37,SVM,0.5688,0.5688,2
ANOVA_L_6_Uniform,sub-37,XGBoost,0.6876,0.6876,2
ANOVA_L_6_Uniform,sub-38,KNN,0.6518,0.6518,2
ANOVA_L_6_Uniform,sub-38,MLP_(Neural_Network),0.6358,0.6358,2
ANOVA_L_6_Uniform,sub-38,SVM,0.2608,0.2608,2
ANOVA_L_6_Uniform,sub-38,XGBoost,0.6295,0.6295,2
ANOVA_L_6_Uniform,sub-39,KNN,0.6881,0.6881,2
ANOVA_L_6_Uniform,sub-39,MLP_(Neural_Network),0.6916,0.6916,2
ANOVA_L_6_Uniform,sub-39,SVM,0.7219,0.7219,2
ANOVA_L_6_Uniform,sub-39,XGBoost,0.6167,0.6167,2
ANOVA_L_6_Uniform,sub-40,KNN,0.7323,0.7323,2
ANOVA_L_6_Uniform,sub-40,MLP_(Neural_Network),0.7146,0.7146,2
ANOVA_L_6_Uniform,sub-40,SVM,0.6525,0.6525,2
ANOVA_L_6_Uniform,sub-40,XGBoost,0.7372,0.7372,2
ANOVA_L_6_Uniform,sub-41,KNN,0.7977,0.7977,2
ANOVA_L_6_Uniform,sub-41,MLP_(Neural_Network),0.704,0.704,2
ANOVA_L_6_Uniform,sub-41,SVM,0.4071,0.4071,2
ANOVA_L_6_Uniform,sub-41,XGBoost,0.6762,0.6762,2
ANOVA_L_6_Uniform,sub-42,KNN,0.798,0.798,2
ANOVA_L_6_Uniform,sub-42,MLP_(Neural_Network),0.8808,0.8808,2
ANOVA_L_6_Uniform,sub-42,SVM,0.6859,0.6859,2
ANOVA_L_6_Uniform,sub-42,XGBoost,0.8532,0.8532,2
ANOVA_L_6_Uniform,sub-43,KNN,0.3833,0.3833,2
ANOVA_L_6_Uniform,sub-43,MLP_(Neural_Network),0.3367,0.3367,2
ANOVA_L_6_Uniform,sub-43,SVM,0.0233,0.0233,2
ANOVA_L_6_Uniform,sub-43,XGBoost,0.2519,0.2519,2
ANOVA_L_6_Uniform,sub-44,KNN,0.726,0.726,1
ANOVA_L_6_Uniform,sub-44,MLP_(Neural_Network),0.637,0.637,1
ANOVA_L_6_Uniform,sub-44,SVM,0.5497,0.5497,1
ANOVA_L_6_Uniform,sub-44,XGBoost,0.3493,0.3493,1
ANOVA_L_6_Uniform,sub-45,KNN,0.3919,0.3919,1
ANOVA_L_6_Uniform,sub-45,MLP_(Neural_Network),0.3147,0.3147,1
ANOVA_L_6_Uniform,sub-45,SVM,0.0444,0.0444,1
ANOVA_L_6_Uniform,sub-45,XGBoost,0.2703,0.2703,1
ANOVA_L_6_Uniform,sub-46,KNN,0.8129,0.8129,1
ANOVA_L_6_Uniform,sub-46,MLP_(Neural_Network),0.5269,0.5269,1
ANOVA_L_6_Uniform,sub-46,SVM,0.6667,0.6667,1
ANOVA_L_6_Uniform,sub-46,XGBoost,0.6559,0.6559,1
ANOVA_L_6_Uniform,sub-47,KNN,0.7804,0.7804,1
ANOVA_L_6_Uniform,sub-47,MLP_(Neural_Network),0.8216,0.8216,1
ANOVA_L_6_Uniform,sub-47,SVM,0.7667,0.7667,1
ANOVA_L_6_Uniform,sub-47,XGBoost,0.898,0.898,1
ANOVA_L_6_Uniform,sub-48,KNN,0.8015,0.8015,1
ANOVA_L_6_Uniform,sub-48,MLP_(Neural_Network),0.7316,0.7316,1
ANOVA_L_6_Uniform,sub-48,SVM,0.7864,0.7864,1
ANOVA_L_6_Uniform,sub-48,XGBoost,0.7618,0.7618,1
ANOVA_L_6_Uniform,sub-49,KNN,0.8035,0.8035,1
ANOVA_L_6_Uniform,sub-49,MLP_(Neural_Network),0.9942,0.9942,1
ANOVA_L_6_Uniform,sub-49,SVM,0.7264,0.7264,1
ANOVA_L_6_Uniform,sub-49,XGBoost,0.9865,0.9865,1
ANOVA_L_6_Uniform,sub-50,KNN,0.3633,0.3633,1
ANOVA_L_6_Uniform,sub-50,MLP_(Neural_Network),0.1294,0.1294,1
ANOVA_L_6_Uniform,sub-50,SVM,0.0877,0.0877,1
ANOVA_L_6_Uniform,sub-50,XGBoost,0.3507,0.3507,1
ANOVA_L_6_Uniform,sub-51,KNN,0.5124,0.5124,1
ANOVA_L_6_Uniform,sub-51,MLP_(Neural_Network),0.1791,0.1791,1
ANOVA_L_6_Uniform,sub-51,SVM,0.1119,0.1119,1
ANOVA_L_6_Uniform,sub-51,XGBoost,0.3881,0.3881,1
ANOVA_L_6_Uniform,sub-52,KNN,0.5456,0.5456,1
ANOVA_L_6_Uniform,sub-52,MLP_(Neural_Network),0.4802,0.4802,1
ANOVA_L_6_Uniform,sub-52,SVM,0.375,0.375,1
ANOVA_L_6_Uniform,sub-52,XGBoost,0.4206,0.4206,1
ANOVA_L_6_Uniform,sub-53,KNN,0.6358,0.6358,1
ANOVA_L_6_Uniform,sub-53,MLP_(Neural_Network),0.4884,0.4884,1
ANOVA_L_6_Uniform,sub-53,SVM,0.4189,0.4189,1
ANOVA_L_6_Uniform,sub-53,XGBoost,0.4568,0.4568,1
ANOVA_L_6_Uniform,sub-54,KNN,0.7396,0.7396,1
ANOVA_L_6_Uniform,sub-54,MLP_(Neural_Network),0.6943,0.6943,1
ANOVA_L_6_Uniform,sub-54,SVM,0.5528,0.5528,1
ANOVA_L_6_Uniform,sub-54,XGBoost,0.5189,0.5189,1
ANOVA_L_6_Uniform,sub-55,KNN,0.9051,0.9051,1
ANOVA_L_6_Uniform,sub-55,MLP_(Neural_Network),0.9867,0.9867,1
ANOVA_L_6_Uniform,sub-55,SVM,0.4915,0.4915,1
ANOVA_L_6_Uniform,sub-55,XGBoost,0.9469,0.9469,1
ANOVA_L_6_Uniform,sub-56,KNN,0.7434,0.7434,1
ANOVA_L_6_Uniform,sub-56,MLP_(Neural_Network),0.9351,0.9351,1
ANOVA_L_6_Uniform,sub-56,SVM,0.6077,0.6077,1
ANOVA_L_6_Uniform,sub-56,XGBoost,0.9381,0.9381,1
ANOVA_L_6_Uniform,sub-57,KNN,0.8929,0.8929,1
ANOVA_L_6_Uniform,sub-57,MLP_(Neural_Network),0.9694,0.9694,1
ANOVA_L_6_Uniform,sub-57,SVM,0.5124,0.5124,1
ANOVA_L_6_Uniform,sub-57,XGBoost,0.8337,0.8337,1
ANOVA_L_6_Uniform,sub-58,KNN,0.6706,0.6706,1
ANOVA_L_6_Uniform,sub-58,MLP_(Neural_Network),0.5661,0.5661,1
ANOVA_L_6_Uniform,sub-58,SVM,0.3905,0.3905,1
ANOVA_L_6_Uniform,sub-58,XGBoost,0.7278,0.7278,1
ANOVA_L_6_Uniform,sub-59,KNN,0.2533,0.2533,1
ANOVA_L_6_Uniform,sub-59,MLP_(Neural_Network),0.12,0.12,1
ANOVA_L_6_Uniform,sub-59,SVM,0.0038,0.0038,1
ANOVA_L_6_Uniform,sub-59,XGBoost,0.0152,0.0152,1
ANOVA_L_6_Uniform,sub-60,KNN,0.3087,0.3087,1
ANOVA_L_6_Uniform,sub-60,MLP_(Neural_Network),0.3552,0.3552,1
ANOVA_L_6_Uniform,sub-60,SVM,0.0085,0.0085,1
ANOVA_L_6_Uniform,sub-60,XGBoost,0.1818,0.1818,1
ANOVA_L_6_Uniform,sub-61,KNN,0.3863,0.3863,1
ANOVA_L_6_Uniform,sub-61,MLP_(Neural_Network),0.5588,0.5588,1
ANOVA_L_6_Uniform,sub-61,SVM,0.2588,0.2588,1
ANOVA_L_6_Uniform,sub-61,XGBoost,0.3922,0.3922,1
ANOVA_L_6_Uniform,sub-62,KNN,0.9255,0.9255,1
ANOVA_L_6_Uniform,sub-62,MLP_(Neural_Network),0.9797,0.9797,1
ANOVA_L_6_Uniform,sub-62,SVM,0.9222,0.9222,1
ANOVA_L_6_Uniform,sub-62,XGBoost,0.9289,0.9289,1
ANOVA_L_6_Uniform,sub-63,KNN,0.5465,0.5465,1
ANOVA_L_6_Uniform,sub-63,MLP_(Neural_Network),0.6208,0.6208,1
ANOVA_L_6_Uniform,sub-63,SVM,0.2937,0.2937,1
ANOVA_L_6_Uniform,sub-63,XGBoost,0.3885,0.3885,1
ANOVA_L_6_Uniform,sub-64,KNN,0.9544,0.9544,1
ANOVA_L_6_Uniform,sub-64,MLP_(Neural_Network),0.9161,0.9161,1
ANOVA_L_6_Uniform,sub-64,SVM,0.9343,0.9343,1
ANOVA_L_6_Uniform,sub-64,XGBoost,0.8449,0.8449,1
ANOVA_L_6_Uniform,sub-65,KNN,0.6015,0.6015,1
ANOVA_L_6_Uniform,sub-65,MLP_(Neural_Network),0.4077,0.4077,1
ANOVA_L_6_Uniform,sub-65,SVM,0.0786,0.0786,1
ANOVA_L_6_Uniform,sub-65,XGBoost,0.5484,0.5484,1
PCA_L_2_Random,sub-1,KNN,0.2794,0.2794,2
PCA_L_2_Random,sub-1,MLP_(Neural_Network),1.0,1.0,2
PCA_L_2_Random,sub-1,SVM,1.0,1.0,2
PCA_L_2_Random,sub-1,XGBoost,0.9243,0.9243,2
PCA_L_2_Random,sub-2,KNN,0.1328,0.1328,2
PCA_L_2_Random,sub-2,MLP_(Neural_Network),0.9924,0.9924,2
PCA_L_2_Random,sub-2,SVM,0.9025,0.9025,2
PCA_L_2_Random,sub-2,XGBoost,0.6884,0.6884,2
PCA_L_2_Random,sub-3,KNN,0.1379,0.1379,2
PCA_L_2_Random,sub-3,MLP_(Neural_Network),0.9285,0.9285,2
PCA_L_2_Random,sub-3,SVM,0.9803,0.9803,2
PCA_L_2_Random,sub-3,XGBoost,0.968,0.968,2
PCA_L_2_Random,sub-4,KNN,0.34,0.34,1
PCA_L_2_Random,sub-4,MLP_(Neural_Network),1.0,1.0,1
PCA_L_2_Random,sub-4,SVM,1.0,1.0,1
PCA_L_2_Random,sub-4,XGBoost,0.9404,0.9404,1
PCA_L_2_Random,sub-5,KNN,0.0033,0.0033,2
PCA_L_2_Random,sub-5,MLP_(Neural_Network),1.0,1.0,2
PCA_L_2_Random,sub-5,SVM,1.0,1.0,2
PCA_L_2_Random,sub-5,XGBoost,0.6892,0.6892,2
PCA_L_2_Random,sub-6,KNN,0.0874,0.0874,2
PCA_L_2_Random,sub-6,MLP_(Neural_Network),0.9952,0.9952,2
PCA_L_2_Random,sub-6,SVM,0.9929,0.9929,2
PCA_L_2_Random,sub-6,XGBoost,0.961,0.961,2
PCA_L_2_Random,sub-7,KNN,0.0039,0.1365,3
PCA_L_2_Random,sub-7,MLP_(Neural_Network),1.0,1.0,3
PCA_L_2_Random,sub-7,SVM,1.0,1.0,3
PCA_L_2_Random,sub-7,XGBoost,0.4606,0.6069,3
PCA_L_2_Random,sub-8,KNN,0.1636,0.1636,2
PCA_L_2_Random,sub-8,MLP_(Neural_Network),1.0,1.0,2
PCA_L_2_Random,sub-8,SVM,1.0,1.0,2
PCA_L_2_Random,sub-8,XGBoost,0.9876,0.9876,2
PCA_L_2_Random,sub-11,KNN,0.2427,0.2427,2
PCA_L_2_Random,sub-11,MLP_(Neural_Network),0.9879,0.9879,2
PCA_L_2_Random,sub-11,SVM,0.9927,0.9927,2
PCA_L_2_Random,sub-11,XGBoost,0.892,0.892,2
PCA_L_2_Random,sub-13,KNN,0.0097,0.0097,1
PCA_L_2_Random,sub-13,MLP_(Neural_Network),1.0,1.0,1
PCA_L_2_Random,sub-13,SVM,1.0,1.0,1
PCA_L_2_Random,sub-13,XGBoost,1.0,1.0,1
PCA_L_2_Random,sub-14,KNN,0.043,0.1128,3
PCA_L_2_Random,sub-14,MLP_(Neural_Network),0.9981,0.9888,3
PCA_L_2_Random,sub-14,SVM,1.0,0.9994,3
PCA_L_2_Random,sub-14,XGBoost,0.9028,0.8704,3
PCA_L_2_Random,sub-15,KNN,0.0541,0.1964,4
PCA_L_2_Random,sub-15,MLP_(Neural_Network),0.9527,0.9426,4
PCA_L_2_Random,sub-15,SVM,0.929,0.9261,4
PCA_L_2_Random,sub-15,XGBoost,0.9087,0.88,4
PCA_L_2_Random,sub-16,KNN,0.3328,0.3328,1
PCA_L_2_Random,sub-16,MLP_(Neural_Network),1.0,1.0,1
PCA_L_2_Random,sub-16,SVM,1.0,1.0,1
PCA_L_2_Random,sub-16,XGBoost,1.0,1.0,1
PCA_L_2_Random,sub-17,KNN,0.2949,0.2949,1
PCA_L_2_Random,sub-17,MLP_(Neural_Network),1.0,1.0,1
PCA_L_2_Random,sub-17,SVM,1.0,1.0,1
PCA_L_2_Random,sub-17,XGBoost,1.0,1.0,1
PCA_L_2_Random,sub-18,KNN,0.0395,0.1736,6
PCA_L_2_Random,sub-18,MLP_(Neural_Network),1.0,1.0,6
PCA_L_2_Random,sub-18,SVM,1.0,0.9991,6
PCA_L_2_Random,sub-18,XGBoost,0.9982,0.9979,6
PCA_L_2_Random,sub-19,KNN,0.3591,0.3591,2
PCA_L_2_Random,sub-19,MLP_(Neural_Network),1.0,1.0,2
PCA_L_2_Random,sub-19,SVM,1.0,1.0,2
PCA_L_2_Random,sub-19,XGBoost,0.9941,0.9941,2
PCA_L_2_Random,sub-21,KNN,0.1036,0.1036,1
PCA_L_2_Random,sub-21,MLP_(Neural_Network),0.9984,0.9984,1
PCA_L_2_Random,sub-21,SVM,1.0,1.0,1
PCA_L_2_Random,sub-21,XGBoost,1.0,1.0,1
PCA_L_2_Random,sub-22,KNN,0.2279,0.2279,1
PCA_L_2_Random,sub-22,MLP_(Neural_Network),0.9979,0.9979,1
PCA_L_2_Random,sub-22,SVM,1.0,1.0,1
PCA_L_2_Random,sub-22,XGBoost,0.9959,0.9959,1
PCA_L_2_Random,sub-23,KNN,0.1194,0.1194,1
PCA_L_2_Random,sub-23,MLP_(Neural_Network),1.0,1.0,1
PCA_L_2_Random,sub-23,SVM,1.0,1.0,1
PCA_L_2_Random,sub-23,XGBoost,0.9198,0.9198,1
PCA_L_2_Random,sub-24,KNN,0.0139,0.1202,3
PCA_L_2_Random,sub-24,MLP_(Neural_Network),1.0,1.0,3
PCA_L_2_Random,sub-24,SVM,1.0,1.0,3
PCA_L_2_Random,sub-24,XGBoost,0.9307,0.664,3
PCA_L_2_Random,sub-28,KNN,0.3996,0.3996,2
PCA_L_2_Random,sub-28,MLP_(Neural_Network),0.999,0.999,2
PCA_L_2_Random,sub-28,SVM,1.0,1.0,2
PCA_L_2_Random,sub-28,XGBoost,0.8834,0.8834,2
PCA_L_2_Random,sub-30,KNN,0.2728,0.2728,2
PCA_L_2_Random,sub-30,MLP_(Neural_Network),1.0,1.0,2
PCA_L_2_Random,sub-30,SVM,1.0,1.0,2
PCA_L_2_Random,sub-30,XGBoost,0.9909,0.9909,2
PCA_L_2_Random,sub-33,KNN,0.0128,0.0128,1
PCA_L_2_Random,sub-33,MLP_(Neural_Network),1.0,1.0,1
PCA_L_2_Random,sub-33,SVM,1.0,1.0,1
PCA_L_2_Random,sub-33,XGBoost,1.0,1.0,1
PCA_L_2_Random,sub-35,KNN,0.1991,0.1991,2
PCA_L_2_Random,sub-35,MLP_(Neural_Network),1.0,1.0,2
PCA_L_2_Random,sub-35,SVM,1.0,1.0,2
PCA_L_2_Random,sub-35,XGBoost,1.0,1.0,2
PCA_L_2_Random,sub-36,KNN,0.0613,0.0613,1
PCA_L_2_Random,sub-36,MLP_(Neural_Network),1.0,1.0,1
PCA_L_2_Random,sub-36,SVM,0.991,0.991,1
PCA_L_2_Random,sub-36,XGBoost,1.0,1.0,1
PCA_L_2_Random,sub-37,KNN,0.7924,0.7924,1
PCA_L_2_Random,sub-37,MLP_(Neural_Network),0.016,0.016,1
PCA_L_2_Random,sub-37,SVM,0.0,0.0,1
PCA_L_2_Random,sub-37,XGBoost,0.2834,0.2834,1
PCA_L_2_Random,sub-38,KNN,0.6875,0.6875,2
PCA_L_2_Random,sub-38,MLP_(Neural_Network),0.0169,0.0169,2
PCA_L_2_Random,sub-38,SVM,0.0152,0.0152,2
PCA_L_2_Random,sub-38,XGBoost,0.2205,0.2205,2
PCA_L_2_Random,sub-39,KNN,0.9144,0.9126,3
PCA_L_2_Random,sub-39,MLP_(Neural_Network),0.1034,0.1551,3
PCA_L_2_Random,sub-39,SVM,0.0,0.2181,3
PCA_L_2_Random,sub-39,XGBoost,0.0784,0.0879,3
PCA_L_2_Random,sub-40,KNN,0.8898,0.8898,1
PCA_L_2_Random,sub-40,MLP_(Neural_Network),0.1398,0.1398,1
PCA_L_2_Random,sub-40,SVM,0.0,0.0,1
PCA_L_2_Random,sub-40,XGBoost,0.1378,0.1378,1
PCA_L_2_Random,sub-41,KNN,0.9635,0.9635,2
PCA_L_2_Random,sub-41,MLP_(Neural_Network),0.0251,0.0251,2
PCA_L_2_Random,sub-41,SVM,0.1041,0.1041,2
PCA_L_2_Random,sub-41,XGBoost,0.1268,0.1268,2
PCA_L_2_Random,sub-42,KNN,0.7669,0.7669,2
PCA_L_2_Random,sub-42,MLP_(Neural_Network),0.0338,0.0338,2
PCA_L_2_Random,sub-42,SVM,0.0961,0.0961,2
PCA_L_2_Random,sub-42,XGBoost,0.0481,0.0481,2
PCA_L_2_Random,sub-44,KNN,0.9597,0.9567,4
PCA_L_2_Random,sub-44,MLP_(Neural_Network),0.2183,0.3026,4
PCA_L_2_Random,sub-44,SVM,0.3741,0.3292,4
PCA_L_2_Random,sub-44,XGBoost,0.3921,0.3621,4
PCA_L_2_Random,sub-47,KNN,0.9922,0.9922,1
PCA_L_2_Random,sub-47,MLP_(Neural_Network),0.4843,0.4843,1
PCA_L_2_Random,sub-47,SVM,0.1843,0.1843,1
PCA_L_2_Random,sub-47,XGBoost,0.7686,0.7686,1
PCA_L_2_Random,sub-48,KNN,0.9905,0.9905,2
PCA_L_2_Random,sub-48,MLP_(Neural_Network),0.138,0.138,2
PCA_L_2_Random,sub-48,SVM,0.31,0.31,2
PCA_L_2_Random,sub-48,XGBoost,0.2949,0.2949,2
PCA_L_2_Random,sub-49,KNN,0.9547,0.9147,4
PCA_L_2_Random,sub-49,MLP_(Neural_Network),0.1436,0.1797,4
PCA_L_2_Random,sub-49,SVM,0.2515,0.2697,4
PCA_L_2_Random,sub-49,XGBoost,0.0857,0.2621,4
PCA_L_2_Random,sub-50,KNN,0.8058,0.8058,1
PCA_L_2_Random,sub-50,MLP_(Neural_Network),0.0,0.0,1
PCA_L_2_Random,sub-50,SVM,0.0,0.0,1
PCA_L_2_Random,sub-50,XGBoost,0.0,0.0,1
PCA_L_2_Random,sub-51,KNN,0.6878,0.6878,2
PCA_L_2_Random,sub-51,MLP_(Neural_Network),0.0,0.0,2
PCA_L_2_Random,sub-51,SVM,0.0186,0.0186,2
PCA_L_2_Random,sub-51,XGBoost,0.005,0.005,2
PCA_L_2_Random,sub-54,KNN,0.9076,0.9,4
PCA_L_2_Random,sub-54,MLP_(Neural_Network),0.0566,0.0972,4
PCA_L_2_Random,sub-54,SVM,0.0019,0.0312,4
PCA_L_2_Random,sub-54,XGBoost,0.183,0.2986,4
PCA_L_2_Random,sub-55,KNN,0.7818,0.7818,1
PCA_L_2_Random,sub-55,MLP_(Neural_Network),0.0607,0.0607,1
PCA_L_2_Random,sub-55,SVM,0.0,0.0,1
PCA_L_2_Random,sub-55,XGBoost,0.9791,0.9791,1
PCA_L_2_Random,sub-56,KNN,0.9676,0.945,3
PCA_L_2_Random,sub-56,MLP_(Neural_Network),0.0295,0.0963,3
PCA_L_2_Random,sub-56,SVM,0.3835,0.2881,3
PCA_L_2_Random,sub-56,XGBoost,0.1386,0.1671,3
PCA_L_2_Random,sub-57,KNN,0.8929,0.8929,1
PCA_L_2_Random,sub-57,MLP_(Neural_Network),0.1377,0.1377,1
PCA_L_2_Random,sub-57,SVM,0.0,0.0,1
PCA_L_2_Random,sub-57,XGBoost,0.0459,0.0459,1
PCA_L_2_Random,sub-58,KNN,0.8728,0.8728,2
PCA_L_2_Random,sub-58,MLP_(Neural_Network),0.0059,0.0059,2
PCA_L_2_Random,sub-58,SVM,0.0119,0.0119,2
