model_name,performance_type,mean_test_accuracy,std_test_accuracy,median_test_accuracy,min_test_accuracy,max_test_accuracy,q25_test_accuracy,q75_test_accuracy,mean_test_f1,mean_test_precision,mean_test_recall,num_hyperparam_configs,num_folds,total_tasks,best_hyperparams
KNN,AVERAGE,0.5487538390393002,0.08935365965657079,0.5421619205720853,0.26040554962646745,0.7850877192982456,0.4964987491170537,0.5947640238027032,0.4793241537089322,0.5641738918190505,0.5487538390393002,3,50,150,N/A (Average)
KNN,BEST MODEL,0.5726355176316686,0.09848768792139038,0.5608330952694882,0.26040554962646745,0.7850877192982456,0.5203356265747042,0.6451865225547466,0.5312874015630435,0.6145006621626825,0.5726355176316686,1,50,50,"{'metric': 'euclidean', 'n_neighbors': 15, 'weights': 'uniform'}"
MLP (Neural Network),AVERAGE,0.545148147084146,0.10609048818580978,0.5241305731809974,0.25566750629722923,0.9043683589138135,0.4923217404367993,0.5903911514244009,0.4323939774073691,0.6371436955523047,0.545148147084146,3,50,150,N/A (Average)
MLP (Neural Network),BEST MODEL,0.5542245014380902,0.1271631725663715,0.5241305731809974,0.25566750629722923,0.9043683589138135,0.4931640223222568,0.6088081442469099,0.4473730707575314,0.6644861870620333,0.5542245014380902,1,50,50,"{'activation': 'tanh', 'alpha': '0.1', 'hidden_layer_sizes': [150, 50]}"
SVM,AVERAGE,0.5317208904048304,0.10407146328413888,0.5139737869633696,0.25566750629722923,0.8403508771929824,0.4825836987594253,0.5801995626663345,0.4053378786215732,0.5135392715645315,0.5317208904048304,3,50,150,N/A (Average)
SVM,BEST MODEL,0.6044855306032366,0.12289942696471089,0.5967928722526981,0.28846153846153844,0.8403508771929824,0.5158692450451321,0.6745471185441609,0.5326944594909219,0.704792477363053,0.6044855306032366,1,50,50,"{'C': '0.1', 'gamma': 'auto', 'kernel': 'rbf'}"
XGBoost,AVERAGE,0.5475928634110678,0.0872267281119906,0.5319904707289099,0.27071005917159763,0.878286270691334,0.4966442953020134,0.5953719456848462,0.45497266791114377,0.6262838081670458,0.5475928634110678,3,50,150,N/A (Average)
XGBoost,BEST MODEL,0.5499669347705144,0.08320139249573848,0.535527105631751,0.3106508875739645,0.7676669893514037,0.5032979485888073,0.5936629691709973,0.4554677883811745,0.6365027011898026,0.5499669347705144,1,50,50,"{'learning_rate': '0.2', 'max_depth': '6', 'n_estimators': '100', 'subsample': '0.7'}"
