fold_name,fold_id,accuracy,test_f1,test_precision,test_recall,train_accuracy,task_id,path
sub-28_sub-47,29,0.8402710551790901,0.8364683689568745,0.8716876441618261,0.8402710551790901,0.788311810137269,MLP_(Neural_Network)_29_0811,/Users/user/projects/eeg-full-pipeline/data/HPC_All_Data/grid_50_random_folds/Anova_L_2_incomplete_ml_results/MLP_(Neural_Network)/sub-28_sub-47/task_MLP_(Neural_Network)_29_0811/results.json
sub-5_sub-56,42,0.8420398009950248,0.8392234649624154,0.8461530949396964,0.8420398009950248,0.7943185346165788,MLP_(Neural_Network)_42_0811,/Users/user/projects/eeg-full-pipeline/data/HPC_All_Data/grid_50_random_folds/Anova_L_2_incomplete_ml_results/MLP_(Neural_Network)/sub-5_sub-56/task_MLP_(Neural_Network)_42_0811/results.json
sub-24_sub-48,26,0.8500967117988395,0.8477537161907773,0.8788777477173749,0.8500967117988395,0.799718574108818,MLP_(Neural_Network)_26_0811,/Users/user/projects/eeg-full-pipeline/data/HPC_All_Data/grid_50_random_folds/Anova_L_2_incomplete_ml_results/MLP_(Neural_Network)/sub-24_sub-48/task_MLP_(Neural_Network)_26_0811/results.json
sub-15_sub-64,9,0.8543859649122807,0.8535697805526257,0.869017427474398,0.8543859649122807,0.8004957018259397,MLP_(Neural_Network)_9_0811,/Users/user/projects/eeg-full-pipeline/data/HPC_All_Data/grid_50_random_folds/Anova_L_2_incomplete_ml_results/MLP_(Neural_Network)/sub-15_sub-64/task_MLP_(Neural_Network)_9_0811/results.json
sub-3_sub-62,39,0.8551637279596978,0.8630603546271545,0.9023030298553468,0.8551637279596978,0.7758535071384234,MLP_(Neural_Network)_39_0811,/Users/user/projects/eeg-full-pipeline/data/HPC_All_Data/grid_50_random_folds/Anova_L_2_incomplete_ml_results/MLP_(Neural_Network)/sub-3_sub-62/task_MLP_(Neural_Network)_39_0811/results.json
sub-18_sub-57,15,0.8555555555555555,0.8555882623143043,0.8558322139339031,0.8555555555555555,0.8109851568860775,MLP_(Neural_Network)_15_0811,/Users/user/projects/eeg-full-pipeline/data/HPC_All_Data/grid_50_random_folds/Anova_L_2_incomplete_ml_results/MLP_(Neural_Network)/sub-18_sub-57/task_MLP_(Neural_Network)_15_0811/results.json
sub-8_sub-37,48,0.8569915254237288,0.8557023850767974,0.8846199024917508,0.8569915254237288,0.8185531649516682,MLP_(Neural_Network)_48_0811,/Users/user/projects/eeg-full-pipeline/data/HPC_All_Data/grid_50_random_folds/Anova_L_2_incomplete_ml_results/MLP_(Neural_Network)/sub-8_sub-37/task_MLP_(Neural_Network)_48_0811/results.json
sub-30_sub-49,32,0.859504132231405,0.8533179871138912,0.874129215923785,0.859504132231405,0.8183542139459695,MLP_(Neural_Network)_32_0811,/Users/user/projects/eeg-full-pipeline/data/HPC_All_Data/grid_50_random_folds/Anova_L_2_incomplete_ml_results/MLP_(Neural_Network)/sub-30_sub-49/task_MLP_(Neural_Network)_32_0811/results.json
sub-7_sub-48,45,0.8784956605593057,0.8779917913159809,0.887585357527154,0.8784956605593057,0.8239359539669138,MLP_(Neural_Network)_45_0811,/Users/user/projects/eeg-full-pipeline/data/HPC_All_Data/grid_50_random_folds/Anova_L_2_incomplete_ml_results/MLP_(Neural_Network)/sub-7_sub-48/task_MLP_(Neural_Network)_45_0811/results.json
sub-18_sub-41,12,0.8870255957634599,0.8865290785034611,0.8921491231304879,0.8870255957634599,0.8144976631849691,MLP_(Neural_Network)_12_0811,/Users/user/projects/eeg-full-pipeline/data/HPC_All_Data/grid_50_random_folds/Anova_L_2_incomplete_ml_results/MLP_(Neural_Network)/sub-18_sub-41/task_MLP_(Neural_Network)_12_0811/results.json
sub-17_sub-62,11,0.9058927000879508,0.9057720976015928,0.9123673495856057,0.9058927000879508,0.8161683972770336,MLP_(Neural_Network)_11_0811,/Users/user/projects/eeg-full-pipeline/data/HPC_All_Data/grid_50_random_folds/Anova_L_2_incomplete_ml_results/MLP_(Neural_Network)/sub-17_sub-62/task_MLP_(Neural_Network)_11_0811/results.json
sub-11_sub-54,0,0.9171974522292994,0.9175225838083263,0.9257922389422832,0.9171974522292994,0.8158518333749064,MLP_(Neural_Network)_0_0811,/Users/user/projects/eeg-full-pipeline/data/HPC_All_Data/grid_50_random_folds/Anova_L_2_incomplete_ml_results/MLP_(Neural_Network)/sub-11_sub-54/task_MLP_(Neural_Network)_0_0811/results.json
sub-24_sub-55,27,0.9205426356589147,0.920341761559119,0.9272934455757292,0.9205426356589147,0.7902882871615283,MLP_(Neural_Network)_27_0811,/Users/user/projects/eeg-full-pipeline/data/HPC_All_Data/grid_50_random_folds/Anova_L_2_incomplete_ml_results/MLP_(Neural_Network)/sub-24_sub-55/task_MLP_(Neural_Network)_27_0811/results.json
sub-24_sub-42,25,0.9259606373008434,0.9258403000946993,0.9265876556889091,0.9259606373008434,0.8051773249444393,MLP_(Neural_Network)_25_0811,/Users/user/projects/eeg-full-pipeline/data/HPC_All_Data/grid_50_random_folds/Anova_L_2_incomplete_ml_results/MLP_(Neural_Network)/sub-24_sub-42/task_MLP_(Neural_Network)_25_0811/results.json
sub-16_sub-42,10,0.960801393728223,0.96077324320456,0.961390136174951,0.960801393728223,0.8066905165380028,MLP_(Neural_Network)_10_0811,/Users/user/projects/eeg-full-pipeline/data/HPC_All_Data/grid_50_random_folds/Anova_L_2_incomplete_ml_results/MLP_(Neural_Network)/sub-16_sub-42/task_MLP_(Neural_Network)_10_0811/results.json
sub-7_sub-49,46,0.9766309639727361,0.9766291914158081,0.9771017044229638,0.9766309639727361,0.791696626754619,MLP_(Neural_Network)_46_0811,/Users/user/projects/eeg-full-pipeline/data/HPC_All_Data/grid_50_random_folds/Anova_L_2_incomplete_ml_results/MLP_(Neural_Network)/sub-7_sub-49/task_MLP_(Neural_Network)_46_0811/results.json
sub-8_sub-49,49,0.9833679833679834,0.9833799009382667,0.983605027672736,0.9833679833679834,0.809153874953201,MLP_(Neural_Network)_49_0811,/Users/user/projects/eeg-full-pipeline/data/HPC_All_Data/grid_50_random_folds/Anova_L_2_incomplete_ml_results/MLP_(Neural_Network)/sub-8_sub-49/task_MLP_(Neural_Network)_49_0811/results.json
