experiment,experiment_dir,experiment_type,feature_set,holdout_size_P,model,fold_id,task_id,hyperparams,test_accuracy,train_accuracy,test_f1,test_precision,test_recall,source_file
ANOVA_L_6_Random,grid_50_random_folds/ANOVA_L_6_complete,LPSO_Random_50,ANOVA,6,MLP,sub-6_sub-15_sub-19_sub-40_sub-49_sub-64,task_MLP_(Neural_Network)_40_6858,"{""activation"": ""tanh"", ""alpha"": ""0.1"", ""hidden_layer_sizes"": [150, 50]}",0.7652037617554859,0.8201448497854077,0.7605615004739487,0.790577712480658,0.7652037617554859,grid_50_random_folds/ANOVA_L_6_complete/MLP_(Neural_Network)/sub-6_sub-15_sub-19_sub-40_sub-49_sub-64/task_MLP_(Neural_Network)_40_6858/results.json
ANOVA_L_6_Random,grid_50_random_folds/ANOVA_L_6_complete,LPSO_Random_50,ANOVA,6,MLP,sub-6_sub-15_sub-19_sub-40_sub-49_sub-64,task_MLP_(Neural_Network)_40_7568,"{""activation"": ""tanh"", ""alpha"": ""0.1"", ""hidden_layer_sizes"": [200, 100, 50]}",0.7699059561128526,0.8527695815450643,0.7697628164071659,0.770202413600899,0.7699059561128526,grid_50_random_folds/ANOVA_L_6_complete/MLP_(Neural_Network)/sub-6_sub-15_sub-19_sub-40_sub-49_sub-64/task_MLP_(Neural_Network)_40_7568/results.json
ANOVA_L_6_Random,grid_50_random_folds/ANOVA_L_6_complete,LPSO_Random_50,ANOVA,6,MLP,sub-6_sub-7_sub-35_sub-38_sub-50_sub-55,task_MLP_(Neural_Network)_41_6123,"{""activation"": ""tanh"", ""alpha"": ""0.1"", ""hidden_layer_sizes"": [100]}",0.6419505678022712,0.8225849433710859,0.6416124114257222,0.64614831498723,0.6419505678022712,grid_50_random_folds/ANOVA_L_6_complete/MLP_(Neural_Network)/sub-6_sub-7_sub-35_sub-38_sub-50_sub-55/task_MLP_(Neural_Network)_41_6123/results.json
ANOVA_L_6_Random,grid_50_random_folds/ANOVA_L_6_complete,LPSO_Random_50,ANOVA,6,MLP,sub-6_sub-7_sub-35_sub-38_sub-50_sub-55,task_MLP_(Neural_Network)_41_6858,"{""activation"": ""tanh"", ""alpha"": ""0.1"", ""hidden_layer_sizes"": [150, 50]}",0.6673346693386774,0.8412391738840773,0.6661269319497807,0.6752758448250187,0.6673346693386774,grid_50_random_folds/ANOVA_L_6_complete/MLP_(Neural_Network)/sub-6_sub-7_sub-35_sub-38_sub-50_sub-55/task_MLP_(Neural_Network)_41_6858/results.json
ANOVA_L_6_Random,grid_50_random_folds/ANOVA_L_6_complete,LPSO_Random_50,ANOVA,6,MLP,sub-6_sub-7_sub-35_sub-38_sub-50_sub-55,task_MLP_(Neural_Network)_41_7568,"{""activation"": ""tanh"", ""alpha"": ""0.1"", ""hidden_layer_sizes"": [200, 100, 50]}",0.7027388109552438,0.8954363757495003,0.6975543600291292,0.7286796391427109,0.7027388109552438,grid_50_random_folds/ANOVA_L_6_complete/MLP_(Neural_Network)/sub-6_sub-7_sub-35_sub-38_sub-50_sub-55/task_MLP_(Neural_Network)_41_7568/results.json
ANOVA_L_6_Random,grid_50_random_folds/ANOVA_L_6_complete,LPSO_Random_50,ANOVA,6,MLP,sub-6_sub-8_sub-25_sub-46_sub-54_sub-63,task_MLP_(Neural_Network)_42_6123,"{""activation"": ""tanh"", ""alpha"": ""0.1"", ""hidden_layer_sizes"": [100]}",0.5264643613267467,0.8306163021868788,0.5260655565239019,0.5257548599731984,0.5264643613267467,grid_50_random_folds/ANOVA_L_6_complete/MLP_(Neural_Network)/sub-6_sub-8_sub-25_sub-46_sub-54_sub-63/task_MLP_(Neural_Network)_42_6123/results.json
ANOVA_L_6_Random,grid_50_random_folds/ANOVA_L_6_complete,LPSO_Random_50,ANOVA,6,MLP,sub-6_sub-8_sub-25_sub-46_sub-54_sub-63,task_MLP_(Neural_Network)_42_6858,"{""activation"": ""tanh"", ""alpha"": ""0.1"", ""hidden_layer_sizes"": [150, 50]}",0.5282286520818631,0.8515904572564612,0.5289715985299808,0.5307073068578313,0.5282286520818631,grid_50_random_folds/ANOVA_L_6_complete/MLP_(Neural_Network)/sub-6_sub-8_sub-25_sub-46_sub-54_sub-63/task_MLP_(Neural_Network)_42_6858/results.json
ANOVA_L_6_Random,grid_50_random_folds/ANOVA_L_6_complete,LPSO_Random_50,ANOVA,6,MLP,sub-6_sub-8_sub-25_sub-46_sub-54_sub-63,task_MLP_(Neural_Network)_42_7568,"{""activation"": ""tanh"", ""alpha"": ""0.1"", ""hidden_layer_sizes"": [200, 100, 50]}",0.5144671841919548,0.8624585818422796,0.5120465896922263,0.5112790995375209,0.5144671841919548,grid_50_random_folds/ANOVA_L_6_complete/MLP_(Neural_Network)/sub-6_sub-8_sub-25_sub-46_sub-54_sub-63/task_MLP_(Neural_Network)_42_7568/results.json
ANOVA_L_6_Random,grid_50_random_folds/ANOVA_L_6_complete,LPSO_Random_50,ANOVA,6,MLP,sub-7_sub-13_sub-16_sub-43_sub-51_sub-54,task_MLP_(Neural_Network)_43_6123,"{""activation"": ""tanh"", ""alpha"": ""0.1"", ""hidden_layer_sizes"": [100]}",0.6467532467532467,0.8129885748647023,0.6126427312879065,0.6997128132638336,0.6467532467532467,grid_50_random_folds/ANOVA_L_6_complete/MLP_(Neural_Network)/sub-7_sub-13_sub-16_sub-43_sub-51_sub-54/task_MLP_(Neural_Network)_43_6123/results.json
ANOVA_L_6_Random,grid_50_random_folds/ANOVA_L_6_complete,LPSO_Random_50,ANOVA,6,MLP,sub-7_sub-13_sub-16_sub-43_sub-51_sub-54,task_MLP_(Neural_Network)_43_6858,"{""activation"": ""tanh"", ""alpha"": ""0.1"", ""hidden_layer_sizes"": [150, 50]}",0.6233766233766234,0.851005545533507,0.6015585654015406,0.6418498574596135,0.6233766233766234,grid_50_random_folds/ANOVA_L_6_complete/MLP_(Neural_Network)/sub-7_sub-13_sub-16_sub-43_sub-51_sub-54/task_MLP_(Neural_Network)_43_6858/results.json
