experiment,model,median,mean,iqr,std,min,max,range,q1,q3,n_folds
ANOVA_L_6,MLP_(Neural_Network),0.6951643058488666,0.7033200005583076,0.11811183826556426,0.08501859539588033,0.5264643613267467,0.897427652733119,0.3709632914063723,0.6486325802615933,0.7667444185271576,88
ANOVA_L_2,MLP_(Neural_Network),0.7627538376815586,0.7236075933283013,0.22294221442629447,0.15471959182795605,0.36145733461169705,0.9833679833679834,0.6219106487562863,0.6190975865687304,0.8420398009950248,94
PCA_L_6,KNN,0.5320078100656299,0.5456933928007235,0.0692954957927735,0.06040586058850505,0.344035023713973,0.7408088235294118,0.3967737998154388,0.5043887147335423,0.5736842105263158,150
PCA_L_2,KNN,0.5421619205720853,0.5487538390393003,0.10024471002697938,0.08935365965657077,0.26040554962646745,0.7850877192982456,0.5246821696717782,0.4956855225311601,0.5959302325581395,150
