feature_set,within_best,within_model,lpso_best,lpso_mean,lpso_std,lpso_model,drop
PCA,0.9817091015510682,MLP_(Neural_Network),0.7408088235294118,0.5456933928007235,0.06040586058850505,KNN,-24.090027802165636
ANOVA,0.9493707930933567,XGBoost,0.897427652733119,0.7033200005583076,0.08501859539588033,MLP_(Neural_Network),-5.194314036023773
