experiment,best_accuracy,mean_accuracy,std_accuracy,best_model
Anova_L_2_incomplete,0.9833679833679834,0.7236075933283013,0.15471959182795605,MLP_(Neural_Network)
Anova_L_6_Incomplete,0.897427652733119,0.7033200005583076,0.08501859539588033,MLP_(Neural_Network)
PCA_L_2,0.5487538390393002,0.5433039349848362,0.09705141213771235,KNN
PCA_L_6,0.5733744931241563,0.5568832977742615,0.011546551483613395,SVM
