fold_name,fold_id,accuracy,test_f1,test_precision,test_recall,train_accuracy,task_id,path
sub-18_sub-51,14,0.5808133472367049,0.42679819843119343,0.3373441443283051,0.5808133472367049,0.9832163469037591,MLP_(Neural_Network)_14_8410,/Users/user/projects/eeg-full-pipeline/data/HPC_All_Data/grid_50_random_folds/PCA_L_2_ml_results/MLP_(Neural_Network)/sub-18_sub-51/task_MLP_(Neural_Network)_14_8410/results.json
sub-18_sub-57,15,0.5824074074074074,0.4843140138554535,0.7692469503233392,0.5824074074074074,0.9834345838291476,MLP_(Neural_Network)_15_8410,/Users/user/projects/eeg-full-pipeline/data/HPC_All_Data/grid_50_random_folds/PCA_L_2_ml_results/MLP_(Neural_Network)/sub-18_sub-57/task_MLP_(Neural_Network)_15_8410/results.json
sub-33_sub-56,33,0.5871446229913473,0.44083614437790253,0.7586541950322552,0.5871446229913473,0.9777984784971278,MLP_(Neural_Network)_33_8410,/Users/user/projects/eeg-full-pipeline/data/HPC_All_Data/grid_50_random_folds/PCA_L_2_ml_results/MLP_(Neural_Network)/sub-33_sub-56/task_MLP_(Neural_Network)_33_8410/results.json
sub-18_sub-44,13,0.588957055214724,0.5119511164283355,0.776850954926512,0.588957055214724,0.983434254698334,MLP_(Neural_Network)_13_8410,/Users/user/projects/eeg-full-pipeline/data/HPC_All_Data/grid_50_random_folds/PCA_L_2_ml_results/MLP_(Neural_Network)/sub-18_sub-44/task_MLP_(Neural_Network)_13_8410/results.json
sub-36_sub-44,36,0.5908691834942933,0.5155620319413922,0.7776027393137441,0.5908691834942933,0.9840313725490196,MLP_(Neural_Network)_36_8410,/Users/user/projects/eeg-full-pipeline/data/HPC_All_Data/grid_50_random_folds/PCA_L_2_ml_results/MLP_(Neural_Network)/sub-36_sub-44/task_MLP_(Neural_Network)_36_8410/results.json
sub-17_sub-62,11,0.5910290237467019,0.5194827593285128,0.7791314015486639,0.5910290237467019,0.9822442513410923,MLP_(Neural_Network)_11_8410,/Users/user/projects/eeg-full-pipeline/data/HPC_All_Data/grid_50_random_folds/PCA_L_2_ml_results/MLP_(Neural_Network)/sub-17_sub-62/task_MLP_(Neural_Network)_11_8410/results.json
sub-14_sub-44,3,0.6050044682752458,0.5431867045772555,0.7801249589453343,0.6050044682752458,0.9852955008622041,MLP_(Neural_Network)_3_8410,/Users/user/projects/eeg-full-pipeline/data/HPC_All_Data/grid_50_random_folds/PCA_L_2_ml_results/MLP_(Neural_Network)/sub-14_sub-44/task_MLP_(Neural_Network)_3_8410/results.json
sub-7_sub-48,44,0.6123432979749277,0.548514266408263,0.7835938410673222,0.6123432979749277,0.985333208243425,MLP_(Neural_Network)_44_8410,/Users/user/projects/eeg-full-pipeline/data/HPC_All_Data/grid_50_random_folds/PCA_L_2_ml_results/MLP_(Neural_Network)/sub-7_sub-48/task_MLP_(Neural_Network)_44_8410/results.json
sub-23_sub-56,23,0.6129411764705882,0.4776311995172344,0.7645392156862745,0.6129411764705882,0.9832110434025618,MLP_(Neural_Network)_23_8410,/Users/user/projects/eeg-full-pipeline/data/HPC_All_Data/grid_50_random_folds/PCA_L_2_ml_results/MLP_(Neural_Network)/sub-23_sub-56/task_MLP_(Neural_Network)_23_8410/results.json
sub-19_sub-39,18,0.615848406546081,0.5411686816436663,0.7796453574834117,0.615848406546081,0.9845540451448843,MLP_(Neural_Network)_18_8410,/Users/user/projects/eeg-full-pipeline/data/HPC_All_Data/grid_50_random_folds/PCA_L_2_ml_results/MLP_(Neural_Network)/sub-19_sub-39/task_MLP_(Neural_Network)_18_8410/results.json
sub-2_sub-39,29,0.6549815498154982,0.618133470232541,0.7791679638697719,0.6549815498154982,0.984184152834325,MLP_(Neural_Network)_29_8410,/Users/user/projects/eeg-full-pipeline/data/HPC_All_Data/grid_50_random_folds/PCA_L_2_ml_results/MLP_(Neural_Network)/sub-2_sub-39/task_MLP_(Neural_Network)_29_8410/results.json
sub-5_sub-56,41,0.6803482587064676,0.6173866005465851,0.7941301112167692,0.6803482587064676,0.9798509779571561,MLP_(Neural_Network)_41_8410,/Users/user/projects/eeg-full-pipeline/data/HPC_All_Data/grid_50_random_folds/PCA_L_2_ml_results/MLP_(Neural_Network)/sub-5_sub-56/task_MLP_(Neural_Network)_41_8410/results.json
sub-8_sub-49,48,0.685031185031185,0.6602417374735049,0.8129608779742827,0.685031185031185,0.9827779857731187,MLP_(Neural_Network)_48_8410,/Users/user/projects/eeg-full-pipeline/data/HPC_All_Data/grid_50_random_folds/PCA_L_2_ml_results/MLP_(Neural_Network)/sub-8_sub-49/task_MLP_(Neural_Network)_48_8410/results.json
sub-7_sub-49,45,0.750730282375852,0.7350128461441825,0.834255213935776,0.750730282375852,0.9827429893394192,MLP_(Neural_Network)_45_8410,/Users/user/projects/eeg-full-pipeline/data/HPC_All_Data/grid_50_random_folds/PCA_L_2_ml_results/MLP_(Neural_Network)/sub-7_sub-49/task_MLP_(Neural_Network)_45_8410/results.json
sub-15_sub-64,9,0.8271929824561404,0.8237211761885515,0.8465697672951624,0.8271929824561404,0.9829014243584112,MLP_(Neural_Network)_9_8410,/Users/user/projects/eeg-full-pipeline/data/HPC_All_Data/grid_50_random_folds/PCA_L_2_ml_results/MLP_(Neural_Network)/sub-15_sub-64/task_MLP_(Neural_Network)_9_8410/results.json
