hyperparam_n_neighbors,hyperparam_weights,hyperparam_metric,mean_test_accuracy,std_test_accuracy,mean_train_accuracy,std_train_accuracy,mean_test_f1,mean_test_precision,mean_test_recall,num_folds
15,uniform,euclidean,0.8415276558384548,0.0,0.8678794560823226,0.0,0.8416408450112871,0.8418715036669197,0.8415276558384548,1
7,uniform,euclidean,0.8375768217734855,0.0,0.8856670341786108,0.0,0.8376326070687113,0.8377127436315404,0.8375768217734855,1
1,uniform,euclidean,0.8046532045654082,0.0,1.0,0.0,0.8049837731102327,0.806275407588575,0.8046532045654082,1
