hyperparam_n_neighbors,hyperparam_weights,hyperparam_metric,mean_test_accuracy,std_test_accuracy,mean_train_accuracy,std_train_accuracy,mean_test_f1,mean_test_precision,mean_test_recall,num_folds
15,uniform,euclidean,0.6938738377593876,0.06251453439737753,0.8768563906962448,0.007155355410708178,0.6904580896137654,0.7051965395619542,0.6938738377593876,12
7,uniform,euclidean,0.6825026231929318,0.056908456722497336,0.894361702427393,0.006327073939415441,0.6797553874463175,0.6922942748228439,0.6825026231929318,12
1,uniform,euclidean,0.6387287805796564,0.04529384753810242,1.0,0.0,0.6374771824907407,0.6453197034764128,0.6387287805796564,12
