hyperparam_n_estimators,hyperparam_max_depth,hyperparam_learning_rate,hyperparam_subsample,mean_test_accuracy,std_test_accuracy,mean_train_accuracy,std_train_accuracy,mean_test_f1,mean_test_precision,mean_test_recall,num_folds
100,6,0.2,0.7,0.9032777290020486,0.0,1.0,0.0,0.9037013598665725,0.9052339873344215,0.9032777290020486,1
100,3,0.2,0.7,0.9023997658764998,0.0,0.993311282616685,0.0,0.9029159614681654,0.9043860016200297,0.9023997658764998,1
100,9,0.2,0.7,0.8965466783728416,0.0,1.0,0.0,0.8968205460493136,0.8982052307848709,0.8965466783728416,1
