Subject,Median_Accuracy,Mean_Accuracy,N_Folds,N_Observations
sub-1,1.0000,0.7983,2,24
sub-2,0.9474,0.7092,2,24
sub-3,0.9606,0.7549,2,24
sub-4,1.0000,0.7873,1,12
sub-5,0.9989,0.7811,2,24
sub-6,0.9173,0.6953,2,24
sub-7,0.9951,0.7300,3,36
sub-8,0.9977,0.7535,2,24
sub-9,N/A,N/A,0,0
sub-10,N/A,N/A,0,0
sub-11,0.9782,0.7717,2,24
sub-12,N/A,N/A,0,0
sub-13,1.0000,0.8039,1,12
sub-14,0.9935,0.7585,3,36
sub-15,0.8792,0.7391,4,48
sub-16,1.0000,0.8040,1,12
sub-17,1.0000,0.8101,1,12
sub-18,1.0000,0.8176,6,72
sub-19,0.9983,0.8243,2,24
sub-20,N/A,N/A,0,0
sub-21,0.9992,0.7718,1,12
sub-22,0.9969,0.8056,1,12
sub-23,0.9912,0.7640,1,12
sub-24,1.0000,0.7315,3,36
sub-25,N/A,N/A,0,0
sub-26,N/A,N/A,0,0
sub-27,N/A,N/A,0,0
sub-28,1.0000,0.8034,2,24
sub-29,N/A,N/A,0,0
sub-30,0.9985,0.8251,2,24
sub-31,N/A,N/A,0,0
sub-32,N/A,N/A,0,0
sub-33,1.0000,0.7947,1,12
sub-34,N/A,N/A,0,0
sub-35,1.0000,0.7917,2,24
sub-36,0.9991,0.8090,1,12
sub-37,0.1796,0.3729,1,12
sub-38,0.0348,0.2016,2,24
sub-39,0.1952,0.3670,3,36
sub-40,0.1388,0.3143,1,12
sub-41,0.0660,0.2377,2,24
sub-42,0.1530,0.3063,2,24
sub-43,N/A,N/A,0,0
sub-44,0.2440,0.3829,4,48
sub-45,N/A,N/A,0,0
sub-46,N/A,N/A,0,0
sub-47,0.2882,0.4108,1,12
sub-48,0.3299,0.3989,2,24
sub-49,0.4249,0.4485,4,48
sub-50,0.0063,0.2081,1,12
sub-51,0.0025,0.1995,2,24
sub-52,N/A,N/A,0,0
sub-53,N/A,N/A,0,0
sub-54,0.1660,0.3276,4,48
sub-55,0.4535,0.4643,1,12
sub-56,0.1976,0.3658,3,36
sub-57,0.1061,0.3279,1,12
sub-58,0.1272,0.3694,2,24
sub-59,0.0000,0.1920,3,36
sub-60,0.0000,0.1397,1,12
sub-61,0.1314,0.3036,3,36
sub-62,0.2445,0.3830,3,36
sub-63,0.0548,0.2351,2,24
sub-64,0.5712,0.5599,1,12
sub-65,0.0027,0.2020,1,12
