Subject,Fold,Model,Accuracy
sub-5,sub-4_sub-5_sub-15_sub-38_sub-39_sub-65,XGBoost,1.0000
sub-5,sub-5_sub-11_sub-18_sub-44_sub-54_sub-60,KNN,0.5871
sub-5,sub-5_sub-11_sub-18_sub-44_sub-54_sub-60,MLP_(Neural_Network),1.0000
sub-5,sub-5_sub-11_sub-18_sub-44_sub-54_sub-60,SVM,1.0000
sub-5,sub-5_sub-11_sub-18_sub-44_sub-54_sub-60,XGBoost,1.0000
sub-5,sub-5_sub-13_sub-24_sub-38_sub-44_sub-58,KNN,0.9054
sub-5,sub-5_sub-13_sub-24_sub-38_sub-44_sub-58,MLP_(Neural_Network),1.0000
sub-5,sub-5_sub-13_sub-24_sub-38_sub-44_sub-58,SVM,1.0000
sub-5,sub-5_sub-13_sub-24_sub-38_sub-44_sub-58,XGBoost,1.0000
sub-5,sub-5_sub-22_sub-33_sub-44_sub-45_sub-58,KNN,0.4452
sub-5,sub-5_sub-22_sub-33_sub-44_sub-45_sub-58,MLP_(Neural_Network),1.0000
sub-5,sub-5_sub-22_sub-33_sub-44_sub-45_sub-58,SVM,1.0000
sub-5,sub-5_sub-22_sub-33_sub-44_sub-45_sub-58,XGBoost,1.0000
sub-5,sub-5_sub-25_sub-28_sub-49_sub-51_sub-56,KNN,0.0022
sub-5,sub-5_sub-25_sub-28_sub-49_sub-51_sub-56,MLP_(Neural_Network),1.0000
sub-5,sub-5_sub-25_sub-28_sub-49_sub-51_sub-56,SVM,1.0000
sub-5,sub-5_sub-25_sub-28_sub-49_sub-51_sub-56,XGBoost,0.6086
sub-5,sub-5_sub-29_sub-36_sub-38_sub-40_sub-57,KNN,0.6581
sub-5,sub-5_sub-29_sub-36_sub-38_sub-40_sub-57,MLP_(Neural_Network),1.0000
sub-5,sub-5_sub-29_sub-36_sub-38_sub-40_sub-57,SVM,1.0000
sub-5,sub-5_sub-29_sub-36_sub-38_sub-40_sub-57,XGBoost,0.9355
sub-5,sub-5_sub-6_sub-32_sub-41_sub-54_sub-61,KNN,0.0108
sub-5,sub-5_sub-6_sub-32_sub-41_sub-54_sub-61,MLP_(Neural_Network),1.0000
sub-5,sub-5_sub-6_sub-32_sub-41_sub-54_sub-61,SVM,1.0000
sub-5,sub-5_sub-6_sub-32_sub-41_sub-54_sub-61,XGBoost,1.0000
sub-6,sub-1_sub-6_sub-35_sub-44_sub-61_sub-64,KNN,0.3026
sub-6,sub-1_sub-6_sub-35_sub-44_sub-61_sub-64,MLP_(Neural_Network),0.0000
