model_name,best_test_accuracy,std_test_accuracy,best_train_accuracy,std_train_accuracy,test_f1,test_precision,test_recall,num_folds,total_tasks,best_hyperparams
XGBoost,0.976148668422593,0.0,0.9999264976111724,0.0,0.9762828797521029,0.9767620727816073,0.976148668422593,1,3,"{'n_estimators': '100', 'max_depth': '3', 'learning_rate': '0.2', 'subsample': '0.7'}"
MLP (Neural Network),0.9401521802750951,0.0,0.9449467107681,0.0,0.94151858739017,0.9475913704001542,0.9401521802750951,1,3,"{'hidden_layer_sizes': [150, 50], 'activation': 'tanh', 'alpha': '0.1'}"
SVM,0.5449224465905765,0.0,0.5489525909592061,0.0,0.5786528900549803,0.7026781661424961,0.5449224465905765,1,3,"{'C': '0.1', 'kernel': 'linear', 'gamma': 'auto'}"
KNN,0.5343868890839918,0.0,0.6426681367144432,0.0,0.5463356248513057,0.6054409778816512,0.5343868890839918,1,3,"{'n_neighbors': 15, 'weights': 'uniform', 'metric': 'euclidean'}"
